N	2gram	Bakhtin_Fr_7	Problema
1	и не	7	28
2	то есть	20	27
3	не только	5	24
4	только в	6	23
5	вовсе не	7	21
6	в том	11	20
7	и в	41	20
8	ни в	6	17
9	не просто	2	16
10	все эти	13	16
11	то что	8	15
12	потому что	5	15
13	было бы	4	14
14	но и	9	14
15	точки зрения	5	14
16	перед нами	2	13
17	не в	9	13
18	также и	2	13
19	не есть	2	12
20	в себе	11	12
21	том что	4	12
22	прежде всего	11	11
23	с точки	3	11
24	в качестве	9	10
25	так и	10	10
26	и его	9	10
27	может быть	4	9
28	все это	10	9
29	в этом	15	9
30	что он	3	8
31	таким образом	19	8
32	в той	3	8
33	в результате	2	8
34	во всяком	2	8
35	и все	14	8
36	но в	8	8
37	это не	6	7
38	есть в	6	7
39	еще не	2	7
40	мы не	2	7
41	и потому	3	7
42	то же	13	7
43	именно в	2	7
44	а не	2	7
45	и с	4	7
46	в ней	5	7
47	и от	8	6
48	а только	2	6
49	а также	2	6
50	как и	14	6
51	но это	3	6
52	есть не	2	6
53	по своему	2	6
54	при этом	3	6
55	в виду	4	6
56	в данном	2	6
57	мы имеем	2	6
58	на самом	2	5
59	хотя и	4	5
60	в нем	7	5
61	жизни и	3	5
62	вместе с	5	5
63	как в	5	5
64	так же	5	5
65	не может	3	5
66	в них	7	5
67	так как	3	5
68	уже не	2	5
69	или в	2	5
70	в этих	2	5
71	о том	6	5
72	уже в	5	4
73	и есть	3	4
74	в отношении	3	4
75	и для	5	4
76	и во	2	4
77	в одном	3	4
78	и ее	2	4
79	в этой	13	4
80	тем самым	3	4
81	кроме того	3	4
82	одной из	2	4
83	несмотря на	3	4
84	в своей	3	4
85	как бы	7	4
86	не имеет	3	4
87	же в	2	4
88	и образ	2	4
89	во всех	3	4
90	с этим	2	4
91	в разных	2	4
92	а в	5	4
93	и наконец	4	4
94	можно было	3	4
95	жизнь и	2	4
96	в то	10	4
97	здесь как	2	4
98	с ним	2	4
99	нет ни	2	4
100	в связи	2	3
101	человека в	2	3
102	к тому	2	3
103	для всех	2	3
104	все они	6	3
105	и к	5	3
106	как мы	11	3
107	он был	3	3
108	для него	6	3
109	и как	2	3
110	но все	4	3
111	учение о	2	3
112	в его	12	3
113	здесь нет	2	3
114	что и	5	3
115	что в	9	3
116	другими словами	2	3
117	дело не	2	3
118	в своем	9	3
119	не было	3	3
120	и сама	2	3
121	является и	3	3
122	из которых	2	3
123	к нему	5	3
124	и на	4	3
125	тем что	3	3
126	из них	3	3
127	имеем в	2	3
128	явлений и	2	3
129	мы сейчас	2	3
130	в каждой	2	3
131	в области	2	3
132	как о	3	3
133	эти образы	2	2
134	все время	2	2
135	по этому	3	2
136	в конце	8	2
137	в литературе	2	2
138	с его	2	2
139	остановимся на	2	2
140	себе все	2	2
141	они и	2	2
142	тот же	2	2
143	говорит что	2	2
144	но именно	3	2
145	и может	2	2
146	со всеми	2	2
147	том как	2	2
148	в это	3	2
149	здесь на	2	2
150	весь этот	2	2
151	что это	4	2
152	свидетельствует о	2	2
153	он не	4	2
154	никто не	10	2
155	с ее	3	2
156	на этой	4	2
157	вся эта	2	2
158	был в	2	2
159	или менее	2	2
160	только на	2	2
161	на земле	4	2
162	то ли	2	2
163	мы здесь	2	2
164	ни было	2	2
165	и по	3	2
166	с ними	3	2
167	в человеческом	3	2
168	в значительной	2	2
169	и то	2	2
170	во все	2	2
171	далеко не	2	2
172	но этот	3	2
173	его в	3	2
174	и это	5	2
175	дело в	2	2
176	в чем	2	2
177	в которой	2	2
178	того же	3	2
179	более или	2	2
180	но по	2	2
181	еще более	2	2
182	это было	2	2
