N	2gram	Losev_Prob_3	Problema
1	то есть	34	46
2	в его	9	43
3	и не	35	42
4	и в	44	38
5	не может	7	27
6	может быть	28	26
7	как бы	9	22
8	в художественном	3	20
9	отнюдь не	10	19
10	и с	9	17
11	и его	5	16
12	в нем	9	15
13	в этом	17	15
14	и т	13	14
15	прежде всего	3	13
16	только в	19	13
17	за пределы	5	12
18	в искусстве	4	12
19	но не	3	12
20	ни в	8	11
21	художественного произведения	14	11
22	во всех	2	11
23	и для	2	11
24	в их	2	10
25	таким образом	9	10
26	но и	10	9
27	не имеет	9	9
28	его в	3	9
29	не только	14	9
30	в том	21	8
31	и как	3	8
32	точки зрения	5	8
33	было бы	8	8
34	для нее	2	8
35	то что	23	8
36	художественное произведение	8	8
37	что в	8	7
38	с другой	7	7
39	не в	13	7
40	в самом	3	7
41	как и	10	7
42	еще не	5	7
43	совершенно не	4	7
44	в своей	5	7
45	как мы	8	7
46	а в	5	6
47	произведение в	2	6
48	не есть	35	6
49	все же	6	6
50	самом деле	3	6
51	с точки	2	6
52	мы можем	6	6
53	отношения к	3	6
54	ничего не	3	6
55	то же	13	5
56	все они	2	5
57	в своем	5	5
58	это не	9	5
59	формы и	3	5
60	при этом	4	5
61	никогда не	6	5
62	все эти	7	5
63	в основе	2	5
64	может иметь	3	5
65	с ним	7	5
66	произведения в	2	5
67	художественном произведении	3	5
68	и о	5	5
69	так и	10	5
70	в отличие	2	5
71	а не	18	5
72	могут быть	2	5
73	отличие от	3	5
74	не менее	10	4
75	в нашем	5	4
76	на самом	7	4
77	в ней	5	4
78	в виду	10	4
79	другой стороны	5	4
80	данном случае	7	4
81	и только	6	4
82	сказать что	16	4
83	в то	9	4
84	о том	6	4
85	и потому	7	4
86	но в	12	4
87	своим предметом	2	4
88	в ее	4	4
89	как в	5	4
90	тем самым	5	4
91	хотя бы	3	4
92	можно было	4	4
93	в данном	9	4
94	в себе	8	4
95	здесь не	8	4
96	как только	3	3
97	мы будем	2	3
98	то ни	6	3
99	и от	9	3
100	в тех	3	3
101	тем не	10	3
102	его как	3	3
103	да и	5	3
104	в известной	2	3
105	но это	8	3
106	кроме того	3	3
107	хотя и	5	3
108	искусства и	2	3
109	не является	11	3
110	и тем	9	3
111	в целом	6	3
112	природы и	2	3
113	все это	5	3
114	с одной	2	3
115	и даже	14	3
116	также и	16	3
117	или как	3	3
118	а как	2	3
119	ни было	3	3
120	если бы	3	3
121	и все	3	3
122	ясно что	6	3
123	и к	6	3
124	она может	2	3
125	том что	12	3
126	говорить о	3	3
127	от него	2	3
128	бы то	4	3
129	мы в	4	3
130	не будем	2	3
131	он не	8	3
132	как нечто	9	3
133	но с	2	3
134	в слове	2	3
135	в таком	5	3
136	с другими	3	3
137	на ее	2	3
138	слова и	3	3
139	и это	9	3
140	едва ли	5	3
141	или иное	2	2
142	том как	2	2
143	ни к	3	2
144	и другие	3	2
145	и есть	5	2
146	в частности	2	2
147	в этих	2	2
148	что все	2	2
149	первый план	2	2
150	на то	3	2
151	или иной	8	2
152	можно сказать	6	2
153	а только	5	2
154	что оно	2	2
155	с самим	3	2
156	в нашей	2	2
157	смысле слова	8	2
158	случае не	3	2
159	по поводу	2	2
160	что это	3	2
161	и у	2	2
162	не имеют	4	2
163	той или	12	2
164	в котором	2	2
165	и значение	3	2
166	другими словами	6	2
167	ни с	4	2
168	отличается от	4	2
169	в связи	7	2
170	не было	5	2
171	чем не	3	2
172	в самой	2	2
173	и что	7	2
174	произведения и	2	2
175	того что	8	2
176	дает нам	2	2
177	есть только	4	2
178	его не	2	2
179	и здесь	5	2
180	только при	4	2
181	но как	4	2
182	в начале	2	2
183	мы должны	7	2
184	же самое	9	2
185	того или	6	2
186	как это	2	2
187	мы имеем	2	2
188	и более	2	2
189	себе не	2	2
190	и во	2	2
191	раз и	4	2
192	вовсе не	37	2
193	или иного	3	2
194	есть не	5	2
195	на первый	4	2
196	о которых	3	2
197	что он	9	2
198	у нас	10	2
199	по существу	2	2
200	а к	2	2
201	и при	2	2
202	связи с	8	2
203	здесь в	3	2
204	она не	3	2
205	действительности но	2	2
206	относится и	2	2
207	и искусства	2	2
208	что и	9	2
209	себя в	2	2
210	и именно	2	2
211	метафора и	2	2
212	нами в	2	2
213	из которых	2	2
214	значение но	2	2
215	то или	3	2
216	или в	4	2
217	тем что	4	2
218	в виде	6	2
219	и ее	3	2
220	в другом	2	2
221	и вообще	8	2
222	в таких	3	2
223	дело в	4	2
224	в чем	4	2
