N	2gram	Propp_Russ_1	DiskursI
1	при этом	6	17
2	состоит в	8	16
3	в качестве	3	16
4	и в	36	16
5	может быть	8	16
6	как и	10	16
7	в этом	12	16
8	и не	6	15
9	а не	2	14
10	в частности	2	12
11	то есть	3	12
12	представляет собой	4	11
13	но и	16	11
14	тогда как	2	11
15	но в	2	11
16	том что	19	10
17	не только	22	10
18	своего рода	3	10
19	так и	7	9
20	не может	4	9
21	в том	17	8
22	а также	3	8
23	как в	5	8
24	не менее	3	7
25	в нем	2	7
26	но не	2	7
27	отнюдь не	2	6
28	еще не	4	6
29	все же	5	6
30	то же	3	6
31	в своих	2	6
32	а с	4	5
33	что в	19	5
34	в своем	3	5
35	то что	6	5
36	и на	10	5
37	в одном	3	4
38	к этому	4	4
39	как бы	5	4
40	потому что	10	4
41	одно из	5	4
42	точки зрения	3	4
43	о том	8	4
44	могут быть	2	3
45	в этих	3	3
46	в них	6	3
47	это не	10	3
48	из этих	4	3
49	уже не	6	3
50	и как	2	3
51	например в	2	3
52	в его	2	3
53	еще в	4	3
54	к жизни	3	3
55	из них	8	3
56	но она	2	3
57	приводит к	3	3
58	не было	2	3
59	все эти	2	3
60	но это	4	3
61	как будто	5	3
62	только в	4	3
63	в большинстве	2	2
64	в целом	2	2
65	как уже	4	2
66	этом случае	5	2
67	что на	4	2
68	интерес к	2	2
69	такой же	2	2
70	о чем	3	2
71	в ней	2	2
72	далеко не	3	2
73	ни одно	2	2
74	не с	3	2
75	что и	7	2
76	с точки	3	2
77	вместе с	10	2
78	с ней	2	2
79	не на	2	2
80	входит в	4	2
81	там же	5	2
82	все это	6	2
83	и для	2	2
84	а в	9	2
85	тут же	2	2
86	их в	3	2
87	и с	2	2
88	в области	3	2
89	мы имеем	4	2
90	между тем	7	2
