N	3gram	Bakhtin_Pr_1	EvropaiE
1	с точки зрения	15	16
2	в то же	7	15
3	то же время	7	14
4	и в то	3	8
5	в том что	7	6
6	как нам кажется	2	5
7	для того чтобы	2	5
8	то ни было	2	4
9	и в этом	3	4
10	само по себе	2	4
11	бы то ни	3	4
12	можно было бы	3	3
13	можно сказать что	2	3
14	хотя бы и	2	3
15	в этом отношении	5	3
16	во всяком случае	3	3
17	в этом смысле	9	3
18	друг с другом	3	3
19	в одном из	2	2
20	в большинстве случаев	2	2
21	дело идет о	2	2
22	в данном случае	2	2
23	по нашему мнению	3	2
24	с другой стороны	2	2
25	нам кажется что	2	2
26	но в то	2	2
27	заключается в том	2	2
28	не может быть	3	2
