N	2gram	Tiupa_Narr_2	Hudozhes
1	в мире	4	23
2	в качестве	14	19
3	то есть	9	18
4	состоит в	12	16
5	и не	14	16
6	в том	14	15
7	и в	13	15
8	не только	26	15
9	в частности	11	13
10	может быть	10	13
11	тогда как	15	13
12	при этом	14	12
13	а в	9	12
14	и его	3	12
15	но не	3	11
16	в этом	13	11
17	в себе	8	11
18	я в	5	11
19	представляет собой	16	10
20	как бы	6	10
21	отношению к	5	10
22	но и	15	10
23	так и	9	10
24	по отношению	5	10
25	то же	4	10
26	а не	17	10
27	такого рода	12	9
28	в его	6	9
29	точки зрения	5	9
30	в рамках	6	8
31	в душе	2	8
32	себя в	2	8
33	своего рода	9	8
34	присутствия в	2	8
35	сводится к	9	8
36	с другой	5	7
37	или иной	3	7
38	в отличие	5	7
39	внутренней речи	3	7
40	в принципе	2	7
41	в то	5	7
42	отличие от	5	7
43	но в	6	7
44	с его	3	6
45	что в	4	6
46	не сводится	7	6
47	художественного письма	2	6
48	в ее	4	6
49	том что	13	6
50	не в	8	6
51	же время	3	6
52	в тексте	8	6
53	не может	8	6
54	по своей	3	6
55	в состав	3	6
56	можно сказать	6	5
57	а также	6	5
58	только в	11	5
59	тем самым	5	5
60	в самом	2	5
61	того что	6	5
62	той или	3	5
63	в нем	5	5
64	то что	8	5
65	присутствия я	2	5
66	и т.п	6	5
67	уже не	4	5
68	коммуникативного события	8	5
69	картина мира	8	5
70	героя и	2	5
71	место в	5	4
72	не столько	5	4
73	личности в	2	4
74	прежде всего	6	4
75	к тому	9	4
76	в другом	4	4
77	для него	4	4
78	еще не	2	4
79	хотя и	5	4
80	он не	5	4
81	и тем	5	4
82	в своей	4	4
83	со стороны	6	4
84	в форме	5	4
85	как к	3	4
86	внутренней заданности	2	4
87	в слове	3	4
88	самим собой	3	4
89	сказать что	3	4
90	между тем	3	4
91	мы имеем	3	4
92	говорить о	2	4
93	и т.д	4	4
94	как это	4	4
95	к которому	2	4
96	не менее	4	3
97	если бы	4	3
98	однако в	2	3
99	конечном счете	3	3
100	это не	3	3
101	как уже	2	3
102	или иного	3	3
103	что он	5	3
104	и к	6	3
105	к его	3	3
106	тем не	5	3
107	и того	3	3
108	по своему	2	3
109	в свою	2	3
110	читателя в	4	3
111	со своей	2	3
112	о чем	2	3
113	имеет место	2	3
114	иначе говоря	7	3
115	того или	3	3
116	как раз	3	3
117	в конечном	3	3
118	далеко не	5	3
119	не будет	2	3
120	в целом	3	3
121	в культуре	2	3
122	картины мира	2	3
123	таким образом	5	3
124	и состоит	2	3
125	как и	4	3
126	в той	5	3
127	и что	2	3
128	с точки	2	3
129	и для	3	3
130	в таком	3	3
131	не следует	3	3
132	в рассказе	4	3
133	не случайно	2	3
134	и адресата	2	3
135	потому что	2	3
136	но он	2	3
137	в данном	10	3
138	как правило	3	3
139	всего лишь	6	3
140	в области	2	3
141	по мысли	5	2
142	я не	5	2
143	и более	2	2
144	поскольку не	3	2
145	в нашем	2	2
146	тому что	3	2
147	жизни в	6	2
148	в своем	6	2
149	превращается в	2	2
150	может оказаться	2	2
151	или даже	3	2
152	человеческого я	5	2
153	вовсе не	2	2
154	в итоге	3	2
155	вследствие этого	2	2
156	в литературе	4	2
157	и рецептивного	2	2
158	роль в	2	2
159	при всей	4	2
160	к своему	2	2
161	личности как	2	2
162	об этом	4	2
163	равной степени	2	2
164	тем более	2	2
165	одна из	3	2
166	времени и	4	2
167	имеем дело	2	2
168	одной стороны	5	2
169	и сам	3	2
170	в аспекте	3	2
171	несмотря на	2	2
172	мира в	4	2
173	ни для	2	2
174	не вполне	2	2
175	за пределами	3	2
176	для автора	2	2
177	не является	4	2
178	для себя	3	2
179	оно не	2	2
180	не могло	2	2
181	не все	2	2
182	хх века	2	2
183	коммуникативное событие	6	2
184	как в	5	2
185	здесь не	2	2
186	собственно говоря	2	2
187	а с	2	2
188	с одной	5	2
189	именно в	2	2
190	все эти	3	2
191	уже говорилось	4	2
192	в себя	4	2
193	того чтобы	3	2
194	следует подчеркнуть	3	2
195	и по	3	2
196	к другому	2	2
197	сводятся к	2	2
198	так же	2	2
199	с ним	4	2
200	ведет к	2	2
201	или иначе	2	2
202	в силу	4	2
203	нового времени	2	2
204	существования в	2	2
205	у него	6	2
206	одно из	2	2
207	всей своей	2	2
208	в этой	4	2
209	в равной	2	2
210	о том	5	2
211	мира и	3	2
212	в чем	2	2
