N	2gram	Propp_Isto_3	SlovoVZh
1	не может	4	16
2	точки зрения	2	14
3	может быть	11	14
4	и его	4	13
5	таким образом	10	12
6	и в	22	12
7	отношению к	2	11
8	по отношению	2	11
9	и не	12	10
10	если бы	6	9
11	так как	7	9
12	прежде всего	3	8
13	для нас	4	7
14	сказать что	3	7
15	в нем	9	6
16	все время	2	6
17	при этом	2	6
18	в том	9	6
19	только в	4	6
20	в ней	2	6
21	и др	2	5
22	в жизни	2	5
23	то что	7	5
24	никогда не	3	5
25	а не	6	5
26	можно сказать	2	5
27	то же	6	5
28	как и	3	5
29	том что	8	5
30	как в	2	5
31	но в	10	5
32	и к	3	4
33	все же	5	4
34	отношение к	4	4
35	жизни и	2	4
36	так и	2	4
37	с другой	7	4
38	на самом	2	4
39	уже не	7	4
40	что не	2	4
41	не в	4	4
42	в этом	17	4
43	и на	4	4
44	его в	3	4
45	к нему	5	4
46	не только	14	4
47	в котором	2	3
48	в них	6	3
49	и уже	2	3
50	и более	2	3
51	не менее	5	3
52	в некоторых	5	3
53	быть и	3	3
54	сих пор	5	3
55	все эти	4	3
56	но и	12	3
57	и пр	11	3
58	того что	5	3
59	и герой	2	3
60	или не	2	3
61	тем не	5	3
62	ни в	2	3
63	да и	2	3
64	так же	3	3
65	и с	4	3
66	о том	3	3
67	и ее	3	3
68	до сих	5	3
69	в пределах	4	3
70	еще не	10	3
71	только на	2	3
72	и для	2	3
73	здесь не	3	3
74	между тем	2	3
75	как только	2	2
76	что и	9	2
77	независимо от	2	2
78	но все	2	2
79	что в	15	2
80	на все	2	2
81	данном случае	3	2
82	вместе с	9	2
83	и так	2	2
84	в этих	11	2
85	в своем	2	2
86	но конечно	2	2
87	нет ничего	2	2
88	другой стороны	7	2
89	это не	6	2
90	дело с	2	2
91	мы имеем	19	2
92	и все	3	2
93	и другие	4	2
94	в особенности	2	2
95	тому же	2	2
96	с одной	2	2
97	к этому	7	2
98	связь с	6	2
99	не отражает	2	2
100	и что	2	2
101	и здесь	7	2
102	стороны и	3	2
103	но это	3	2
104	такой же	2	2
105	в данном	4	2
106	и то	2	2
107	мы можем	6	2
108	но не	7	2
109	могут быть	5	2
110	но тем	2	2
111	имеем в	4	2
112	она не	4	2
113	в то	2	2
114	одной стороны	2	2
115	можно найти	4	2
116	на это	2	2
117	но этот	2	2
118	там где	7	2
119	в чем	3	2
120	как это	4	2
121	ничего не	6	2
122	он не	5	2
123	в его	3	2
124	и потому	2	2
125	относится к	2	2
