N	2gram	Losev_Vlad_3	Formalny
1	и в	40	24
2	в его	14	23
3	прежде всего	10	22
4	и не	25	20
5	так и	6	18
6	не может	14	16
7	точки зрения	13	16
8	в этом	16	15
9	в нем	3	14
10	может быть	8	14
11	на почве	2	13
12	с точки	6	13
13	таким образом	11	13
14	в своем	8	11
15	не менее	9	11
16	как и	7	11
17	должно быть	5	11
18	в своей	9	11
19	в их	2	11
20	вовсе не	13	10
21	в настоящее	3	10
22	то же	4	10
23	в ней	5	10
24	а не	8	10
25	и его	10	10
26	настоящее время	3	10
27	и потому	10	9
28	в то	7	9
29	же время	2	8
30	именно в	3	8
31	то что	28	8
32	и на	6	8
33	не в	3	8
34	и с	9	8
35	должна быть	2	7
36	и от	6	7
37	до конца	4	7
38	не только	25	7
39	но и	18	7
40	на самом	3	7
41	отнюдь не	5	6
42	и все	4	6
43	и здесь	6	6
44	было бы	4	6
45	в том	18	6
46	в этой	8	6
47	более или	5	6
48	она не	2	6
49	еще не	4	6
50	как бы	3	6
51	в целом	2	6
52	или менее	5	6
53	а в	7	6
54	отношения к	5	6
55	все эти	5	6
56	как это	4	6
57	что бы	3	5
58	хотя бы	6	5
59	по себе	6	5
60	у нас	5	5
61	при этом	3	5
62	только на	5	5
63	в самом	4	5
64	со стороны	2	5
65	как мы	8	5
66	того что	7	5
67	с другой	5	5
68	но в	4	5
69	с его	2	4
70	независимо от	3	4
71	никогда не	11	4
72	не как	2	4
73	стороны и	2	4
74	и к	2	4
75	в мире	2	4
76	учение о	24	4
77	одной стороны	3	4
78	если бы	3	4
79	всяком случае	3	4
80	оно не	3	4
81	быть и	2	4
82	так же	8	4
83	в связи	3	4
84	что в	17	4
85	с одной	3	4
86	только и	5	4
87	друг друга	2	4
88	как на	3	4
89	в которой	2	4
90	с этой	2	4
91	во всяком	3	4
92	в истории	5	4
93	к этой	2	4
94	но не	4	3
95	в отношении	5	3
96	связи с	2	3
97	она должна	2	3
98	то ни	3	3
99	в жизни	2	3
100	бы то	3	3
101	что он	5	3
102	это последнее	2	3
103	к тому	7	3
104	для него	8	3
105	и как	7	3
106	но это	6	3
107	ни на	2	3
108	но для	3	3
109	не о	2	3
110	он не	8	3
111	в основном	4	3
112	оно должно	4	3
113	все же	4	3
114	же в	3	3
115	отличается от	3	3
116	в россии	3	3
117	не было	5	3
118	сводится к	3	3
119	мы не	2	3
120	тем самым	2	3
121	и наконец	2	3
122	и даже	6	3
123	его в	2	3
124	жизнь и	3	3
125	в себе	9	3
126	здесь не	3	3
127	бы в	2	3
128	нисколько не	3	2
129	ни стало	2	2
130	и более	2	2
131	же как	3	2
132	с тем	7	2
133	в нашем	2	2
134	учения о	4	2
135	это не	3	2
136	с этим	2	2
137	и слишком	3	2
138	в одном	5	2
139	вопрос о	4	2
140	в году	10	2
141	не можем	2	2
142	здесь в	4	2
143	указать на	4	2
144	а только	7	2
145	остановиться на	2	2
146	ни в	10	2
147	уже не	9	2
148	по существу	4	2
149	мы видели	3	2
150	но все	3	2
151	если мы	4	2
152	и чисто	3	2
153	только в	13	2
154	и если	7	2
155	одной из	2	2
156	вполне понятно	3	2
157	от того	4	2
158	как раз	10	2
159	за пределы	3	2
160	еще в	5	2
161	не с	4	2
162	что и	7	2
163	не есть	10	2
164	на него	2	2
165	вместе с	7	2
166	она была	4	2
167	не на	2	2
168	и что	8	2
169	во что	2	2
170	раз и	8	2
171	не так	3	2
172	или иначе	2	2
173	в результате	4	2
174	от этого	2	2
175	даже и	12	2
176	в своих	7	2
177	является для	2	2
178	ничего не	5	2
179	и это	6	2
180	во всем	6	2
181	могло бы	2	2
182	как с	2	2
