N	2gram	Kanaev_Sov_1	KFilosof
1	может быть	12	43
2	в его	2	39
3	в нем	3	31
4	не может	17	27
5	и не	6	26
6	и в	7	22
7	в себе	3	21
8	а не	3	17
9	точки зрения	12	13
10	в этом	7	13
11	все эти	5	11
12	не в	3	11
13	это не	4	10
14	все это	3	10
15	с точки	5	10
16	и есть	2	9
17	в целом	4	9
18	как бы	4	9
19	и все	3	9
20	было бы	3	8
21	жизни и	4	8
22	в том	4	6
23	отнюдь не	3	6
24	совершенно не	2	6
25	уже не	2	6
26	то же	3	5
27	но все	2	5
28	но в	3	5
29	как и	6	5
30	не только	4	5
31	все же	3	5
32	времени и	2	4
33	что в	2	4
34	для нас	3	4
35	при этом	3	4
36	в одном	3	4
37	а в	4	4
38	и т.д	3	4
39	что это	2	3
40	не менее	2	3
41	в каждом	8	3
42	в свою	2	3
43	не дает	2	3
44	и пр	2	3
45	мы не	9	3
46	ясно что	3	3
47	а все	3	3
48	еще не	3	3
49	нет и	4	3
50	быть и	2	3
51	может дать	2	3
52	самом деле	2	3
53	к чему	2	3
54	могут быть	2	3
55	ничего не	6	3
56	может не	3	2
57	то ни	2	2
58	принципиально не	2	2
59	прежде всего	5	2
60	вопрос о	4	2
61	или иной	2	2
62	тем не	2	2
63	он может	3	2
64	и мы	3	2
65	может иметь	2	2
66	говорить о	2	2
67	мы получим	3	2
68	конечно в	2	2
69	тот же	2	2
70	со всеми	2	2
71	ни одна	2	2
72	и потому	3	2
73	и именно	2	2
74	в виде	2	2
75	еще более	2	2
76	в этой	3	2
77	которой он	2	2
78	в области	3	2
