N	2gram	Nazirov_Tr_1	Dialekti
1	и не	7	27
2	и в	18	24
3	не только	8	23
4	не может	5	19
5	не просто	2	18
6	ничего не	2	17
7	и что	4	15
8	что все	2	14
9	в таком	2	14
10	то что	4	14
11	может быть	7	13
12	и даже	4	13
13	что он	6	13
14	что это	5	12
15	не имеет	2	11
16	отнюдь не	3	10
17	ни в	2	9
18	но и	4	9
19	что она	2	9
20	прежде всего	4	8
21	так что	2	8
22	и как	3	8
23	том что	4	8
24	в этом	9	8
25	в виде	2	8
26	что в	4	7
27	никогда не	2	7
28	в самом	2	7
29	потому что	2	7
30	как и	5	7
31	ничем не	2	7
32	я не	4	6
33	все это	4	6
34	и с	7	6
35	о том	2	6
36	и все	4	6
37	об этом	4	6
38	что и	2	6
39	от всего	2	6
40	то же	5	6
41	как же	2	5
42	в том	2	5
43	но это	4	5
44	и его	6	5
45	в то	5	5
46	как это	3	5
47	вопрос о	2	5
48	он не	2	5
49	так и	5	5
50	уже не	2	5
51	личности и	2	5
52	это не	5	4
53	не могут	2	4
54	к тому	2	4
55	так же	4	4
56	а что	2	4
57	говорит о	2	4
58	жизнь и	3	4
59	и то	2	4
60	и это	2	4
61	для него	3	4
62	из самых	2	3
63	перед нами	2	3
64	все же	5	3
65	в своем	3	3
66	и я	2	3
67	не в	2	3
68	же время	6	3
69	в нем	4	3
70	то и	2	3
71	все эти	3	3
72	должно быть	3	3
73	друг друга	2	3
74	и на	7	3
75	он и	2	3
76	тем что	2	3
77	только о	2	3
78	одна из	2	3
79	как бы	7	3
80	тем самым	3	3
81	раз и	2	3
82	к нему	3	3
83	и ее	2	3
84	она должна	2	2
85	в частности	2	2
86	точно так	2	2
87	а я	5	2
88	еще не	4	2
89	при этом	3	2
90	несмотря на	5	2
91	и здесь	2	2
92	в первом	2	2
93	но в	6	2
94	но они	2	2
95	с его	2	2
96	у него	6	2
97	никто не	3	2
98	только к	2	2
99	даже если	2	2
100	и он	3	2
101	что этот	2	2
102	в данном	2	2
103	в себе	4	2
104	в его	3	2
105	отца и	2	2
