N	2gram	Voloshinov_1	StatiiOP
1	и в	13	44
2	в том	2	36
3	что в	3	30
4	том что	2	29
5	в этом	2	21
6	вовсе не	2	19
7	то что	6	18
8	не только	6	18
9	было бы	4	17
10	а в	2	17
11	и не	8	16
12	а не	2	16
13	может быть	8	15
14	в данном	2	14
15	в области	2	14
16	как в	2	13
17	не в	3	12
18	самом деле	3	11
19	точки зрения	7	11
20	но и	3	10
21	но в	4	10
22	только в	6	10
23	в отношении	2	9
24	с другой	2	9
25	если бы	2	9
26	как и	3	9
27	так и	3	9
28	в его	7	9
29	все же	5	8
30	не может	8	8
31	и его	12	8
32	с точки	5	8
33	но ведь	5	8
34	прежде всего	9	7
35	в самом	2	7
36	другой стороны	2	7
37	таким образом	6	7
38	что они	2	7
39	для него	2	6
40	в своей	4	6
41	данном случае	2	6
42	что же	3	6
43	хотя бы	5	6
44	не менее	2	5
45	никогда не	3	5
46	так же	2	5
47	в нем	2	5
48	в целом	2	5
49	все это	4	5
50	вряд ли	3	5
51	то же	4	5
52	и то	3	5
53	тем что	2	5
54	могут быть	2	5
55	г в	3	5
56	все эти	2	5
57	так как	3	5
58	там где	2	5
59	или иного	2	4
60	в ее	3	4
61	того или	2	4
62	как бы	6	4
63	не имеет	2	4
64	языка и	5	4
65	в которой	3	4
66	точку зрения	3	3
67	для себя	2	3
68	с этой	2	3
69	не является	4	3
70	в каждом	4	3
71	в тех	2	3
72	в г	2	3
73	да и	3	3
74	кажется что	2	3
75	своего рода	2	3
76	и для	3	3
77	общего с	3	3
78	в ней	2	3
79	и тем	2	3
80	отношению к	3	3
81	по отношению	3	3
82	ничего общего	3	3
83	с одной	2	3
84	в двух	4	3
85	лишь в	4	3
86	в чем	2	3
87	к сожалению	2	3
88	в другом	2	3
89	вопроса о	4	3
90	связанные с	2	3
91	между тем	2	3
92	с этим	3	3
93	истории литературы	2	2
94	уже в	2	2
95	а как	2	2
96	вопросы связанные	2	2
97	материала и	3	2
98	превращается в	3	2
99	при этом	2	2
100	ни один	3	2
101	одной стороны	2	2
102	несмотря на	2	2
103	за пределы	3	2
104	но для	3	2
105	а также	2	2
106	с историей	2	2
107	и уже	3	2
108	и их	7	2
109	еще и	4	2
110	мы не	4	2
111	в своих	2	2
112	думать что	2	2
113	от этого	2	2
114	что эта	2	2
115	в себе	3	2
116	в сознании	4	2
117	говорить о	3	2
118	и все	3	2
