N	2gram	Bakhtin_Pr_5	DiskursI
1	в себе	5	19
2	при этом	2	17
3	и в	35	16
4	может быть	14	16
5	как и	18	16
6	в этом	14	16
7	и не	27	15
8	а не	4	14
9	и т.п	6	12
10	в отличие	2	12
11	отличие от	2	12
12	то есть	16	12
13	в мире	4	11
14	но и	14	11
15	но в	19	11
16	том что	3	10
17	не только	10	10
18	своего рода	2	10
19	так и	8	9
20	не может	18	9
21	в том	5	8
22	как в	5	8
23	не менее	2	7
24	прежде всего	12	7
25	в нем	16	7
26	ни в	2	7
27	но не	6	7
28	с его	7	6
29	себя в	2	6
30	еще не	7	6
31	все же	8	6
32	в своей	4	6
33	то же	15	6
34	по своей	2	6
35	а с	3	5
36	что в	6	5
37	в своем	2	5
38	с другой	4	5
39	же время	10	5
40	для него	14	5
41	героя в	5	5
42	то что	10	5
43	и на	6	5
44	в то	11	5
45	я в	4	5
46	в одном	6	4
47	в пределах	11	4
48	как бы	31	4
49	отношению к	7	4
50	по отношению	6	4
51	в рассказе	2	4
52	потому что	8	4
53	точки зрения	7	4
54	и то	5	4
55	о том	2	4
56	я и	2	4
57	в этих	2	3
58	в них	4	3
59	столь же	2	3
60	это не	3	3
61	и все	15	3
62	было в	2	3
63	или иной	4	3
64	уже не	3	3
65	и того	2	3
66	и как	2	3
67	не в	10	3
68	здесь в	2	3
69	например в	2	3
70	он не	13	3
71	той или	4	3
72	в его	21	3
73	еще в	4	3
74	в котором	3	3
75	мире и	2	3
76	из них	3	3
77	приводит к	2	3
78	все эти	3	3
79	внутренней речи	5	3
80	и наконец	7	3
81	и его	14	3
82	но это	6	3
83	всей своей	2	3
84	в другом	12	3
85	не знает	6	3
86	как будто	4	3
87	только в	6	3
88	его в	4	3
89	в творчестве	4	3
90	как все	2	2
91	другого в	4	2
92	никогда не	4	2
93	в большинстве	2	2
94	и другого	2	2
95	в целом	3	2
96	это в	2	2
97	с таким	2	2
98	что на	2	2
99	в той	4	2
100	что он	24	2
101	такой же	3	2
102	времени и	2	2
103	одно и	3	2
104	отношение к	6	2
105	со своим	2	2
106	уже как	2	2
107	в ней	2	2
108	рассказа в	10	2
109	для себя	7	2
110	что и	3	2
111	с ее	3	2
112	с точки	2	2
113	но уже	2	2
114	рассказчика и	5	2
115	слова не	2	2
116	вместе с	2	2
117	что же	7	2
118	и прежде	4	2
119	я как	3	2
120	себе самому	18	2
121	к своему	5	2
122	сводится к	3	2
123	все это	14	2
124	другой стороны	3	2
125	речи в	2	2
126	и для	8	2
127	должно быть	3	2
128	а в	7	2
129	той же	2	2
130	тому как	2	2
131	совпадает с	2	2
132	их в	2	2
133	пока еще	2	2
134	и с	12	2
135	не о	4	2
136	подобно тому	2	2
137	стремится к	6	2
138	говорить о	3	2
139	рассказ в	3	2
140	и это	5	2
141	в записках	2	2
142	между тем	4	2
