N	2gram	Medvedev_U_1	Formalny
1	и не	8	30
2	и в	14	27
3	может быть	6	25
4	не может	7	24
5	таким образом	2	18
6	в этом	7	18
7	а не	10	17
8	самом деле	2	16
9	то же	5	15
10	как и	3	14
11	не в	2	12
12	если бы	2	12
13	в самом	2	11
14	художественное произведение	5	11
15	но и	4	10
16	не могут	2	10
17	не только	10	9
18	то что	7	8
19	как раз	2	8
20	только в	2	8
21	в том	2	7
22	же время	3	7
23	все это	5	7
24	в искусстве	6	7
25	в то	3	7
26	между тем	2	7
27	художественного произведения	2	7
28	в его	2	7
29	истории литературы	3	6
30	с другой	4	6
31	но в	3	6
32	что он	2	6
33	было бы	3	6
34	все же	3	6
35	в своей	3	6
36	хотя бы	5	6
37	и для	2	6
38	ни было	3	5
39	другой стороны	3	5
40	и формы	3	5
41	в художественном	5	5
42	но не	2	5
43	сводится к	2	5
44	тем что	2	5
45	то ни	3	4
46	прежде всего	8	4
47	и является	2	4
48	бы то	3	4
49	и прием	2	4
50	по себе	2	4
51	не есть	2	4
52	том что	2	4
53	конечно не	4	4
54	мы не	2	4
55	могут быть	2	4
56	бы и	2	3
57	материала и	2	3
58	его и	2	3
59	это не	3	3
60	формы и	2	3
61	формы в	3	3
62	в конце	2	3
63	как таковой	2	3
64	мы и	2	3
65	должна быть	2	3
66	одним из	2	3
67	не о	3	3
68	этом отношении	2	3
69	не следует	3	3
70	и с	2	3
71	в шкловский	2	3
72	художественном произведении	2	3
73	у нас	3	3
74	литературы и	2	3
75	же самое	2	3
76	что материал	2	3
77	в себе	2	3
78	в сторону	2	2
79	для этого	3	2
80	всех этих	2	2
81	но это	2	2
82	в этой	4	2
83	очевидно что	3	2
84	художественного творчества	5	2
85	материал как	2	2
86	в шкловского	2	2
87	что она	2	2
88	и только	5	2
89	в россии	4	2
90	конце концов	2	2
91	с его	2	2
92	этом смысле	2	2
93	перестает быть	5	2
94	смысле этого	2	2
95	превращается в	2	2
96	не как	3	2
97	формального метода	9	2
98	прием и	2	2
99	что и	2	2
100	или точнее	3	2
101	является в	2	2
102	в области	3	2
103	ничего не	2	2
