N	2gram	Losev_Vesc_1	FransuaR
1	и в	21	41
2	мы уже	3	18
3	во всех	2	17
4	таким образом	8	17
5	в нем	2	16
6	и с	8	16
7	и его	2	13
8	но и	18	13
9	как мы	4	12
10	в этом	4	12
11	все это	5	11
12	все эти	3	11
13	прежде всего	9	10
14	в самом	9	10
15	не только	36	10
16	так как	7	10
17	то что	27	10
18	кроме того	4	9
19	и все	5	9
20	о том	6	9
21	никогда не	2	8
22	в сущности	4	8
23	в этой	3	8
24	но в	5	8
25	у него	2	7
26	вовсе не	10	7
27	том что	8	7
28	как бы	12	7
29	как и	8	7
30	что в	9	7
31	в его	2	7
32	мы видим	2	6
33	один из	3	6
34	или в	2	6
35	также и	6	6
36	сказать что	17	6
37	в то	3	6
38	то же	6	5
39	что образ	2	5
40	в одном	2	5
41	в ее	7	5
42	между собою	6	5
43	из них	4	5
44	так и	3	5
45	в своем	6	5
46	в той	3	5
47	и что	15	5
48	той же	2	5
49	тем что	2	5
50	но он	2	5
51	в себе	14	5
52	что это	13	5
53	с другой	6	4
54	и от	3	4
55	и образ	3	4
56	а затем	2	4
57	у нас	7	4
58	и как	8	4
59	не в	5	4
60	тот же	3	4
61	одной стороны	3	4
62	в ней	12	4
63	в котором	3	4
64	все же	4	4
65	не может	17	4
66	с одной	3	4
67	самом деле	4	4
68	того чтобы	3	4
69	и даже	6	4
70	а в	4	4
71	в результате	3	4
72	в основе	3	4
73	в другом	2	4
74	того же	5	4
75	с ним	8	4
76	перед нами	2	3
77	первом случае	2	3
78	во втором	2	3
79	с этой	4	3
80	с этим	3	3
81	но это	10	3
82	было бы	14	3
83	и их	7	3
84	никак не	3	3
85	жизни и	2	3
86	в первой	2	3
87	и для	9	3
88	и не	29	3
89	того что	8	3
90	что не	5	3
91	между ними	3	3
92	есть только	7	3
93	с другими	8	3
94	в данном	5	3
95	только в	14	3
96	в первом	2	3
97	только с	3	3
98	в чем	6	3
99	потому что	16	3
100	но уже	3	2
101	мы еще	2	2
102	для этого	4	2
103	и во	3	2
104	себе в	3	2
105	в конце	2	2
106	что все	2	2
107	стороны и	2	2
108	если мы	8	2
109	для нас	2	2
110	из самых	2	2
111	в том	8	2
112	было и	2	2
113	это и	6	2
114	нарицательное имя	2	2
115	так что	5	2
116	ведь и	5	2
117	что они	6	2
118	на этом	2	2
119	но не	5	2
120	есть именно	6	2
121	есть и	4	2
122	должна быть	4	2
123	может быть	16	2
124	в своей	5	2
125	хотя и	4	2
126	и когда	4	2
127	но если	8	2
128	и потому	5	2
129	должен быть	2	2
130	себя в	10	2
131	данном случае	2	2
132	есть нечто	6	2
133	другой стороны	2	2
134	как раз	9	2
135	образ в	2	2
136	еще более	2	2
137	как это	2	2
138	но с	2	2
139	мы находим	2	2
140	из того	2	2
141	а не	19	2
142	и у	3	2
143	с точки	3	2
144	мы не	6	2
145	от всех	4	2
146	к себе	4	2
147	и то	10	2
148	их в	3	2
149	точки зрения	5	2
150	и само	2	2
151	говорить о	6	2
152	что мы	14	2
153	бы в	5	2
154	тогда когда	5	2
155	как она	4	2
