N	2gram	Nazirov_Tr_1	Vladivir
1	и в	18	30
2	в году	9	24
3	то что	4	20
4	в этом	9	20
5	у него	6	19
6	в том	2	18
7	и не	7	18
8	и с	7	14
9	что он	6	13
10	в конце	3	13
11	том что	4	12
12	что в	4	12
13	не только	8	12
14	в его	3	11
15	и даже	4	10
16	не в	2	9
17	для него	3	9
18	все же	5	9
19	потому что	2	9
20	не может	5	9
21	в то	5	9
22	в своем	3	8
23	но и	4	8
24	не мог	2	8
25	но в	6	8
26	никогда не	2	7
27	и все	4	7
28	ни в	2	7
29	до конца	2	7
30	может быть	7	7
31	как это	3	7
32	то есть	3	7
33	прежде всего	4	6
34	об этом	4	6
35	он был	2	6
36	в себе	4	6
37	и его	6	6
38	о чем	3	6
39	и то	2	5
40	и я	2	5
41	о его	2	5
42	как и	5	5
43	так что	2	5
44	в дальнейшем	5	5
45	при этом	3	5
46	в основном	3	5
47	как бы	7	5
48	так и	5	5
49	все это	4	5
50	и что	4	5
51	все эти	3	5
52	с ним	3	5
53	с его	2	4
54	в это	2	4
55	я не	4	4
56	его в	2	4
57	в этой	4	4
58	в целом	4	4
59	что это	5	4
60	несмотря на	5	4
61	он не	2	4
62	в нем	4	4
63	то же	5	4
64	и он	3	4
65	так же	4	4
66	по поводу	2	4
67	и на	7	4
68	но это	4	4
69	о том	2	4
70	отношение к	2	4
71	под влиянием	2	3
72	уже в	3	3
73	точно так	2	3
74	же время	6	3
75	что и	2	3
76	и как	3	3
77	что я	4	3
78	он и	2	3
79	в данном	2	3
80	как в	3	3
81	в отличие	2	3
82	уже не	2	3
83	должно быть	3	3
84	отличие от	2	3
85	в таком	2	3
86	в виде	2	3
87	и это	2	3
88	как у	2	2
89	в русском	2	2
90	к нему	3	2
91	он сам	7	2
92	еще в	2	2
93	с тем	2	2
94	у достоевского	5	2
95	это не	5	2
96	раз и	2	2
97	не был	2	2
98	на меня	2	2
99	к тому	2	2
100	друг друга	2	2
101	и сам	3	2
102	в самом	2	2
103	во сне	2	2
104	в частности	2	2
105	а что	2	2
106	не имеет	2	2
107	и до	2	2
108	данном случае	2	2
109	но все	2	2
110	тут же	2	2
111	как будто	3	2
112	что эти	2	2
113	что вы	3	2
114	ничего не	2	2
