N	2gram	Savitsky_E_1	Tvorches
1	и в	37	20
2	не только	18	13
3	никогда не	3	11
4	как бы	6	11
5	в его	2	10
6	таким образом	2	10
7	в то	16	10
8	и не	14	9
9	прежде всего	9	8
10	в том	11	8
11	но и	14	8
12	может быть	6	8
13	в этом	12	8
14	и с	2	8
15	представление о	2	7
16	же время	14	7
17	наряду с	2	7
18	что в	21	7
19	не может	9	7
20	то же	15	7
21	потому что	3	7
22	как и	7	6
23	в своей	8	6
24	так и	10	6
25	именно в	4	6
26	а не	2	6
27	в мире	2	5
28	но не	5	5
29	и даже	6	5
30	так же	9	5
31	и на	6	5
32	в этой	2	5
33	о том	3	5
34	то есть	6	5
35	и от	3	4
36	мы не	4	4
37	том что	6	4
38	мы видим	2	4
39	отнюдь не	9	4
40	хотя и	2	4
41	по нашему	3	4
42	когда он	3	4
43	как в	3	4
44	в известной	3	4
45	нашему мнению	2	4
46	тем самым	5	4
47	не в	5	4
48	а в	2	4
49	и потому	5	4
50	если бы	2	4
51	но в	14	4
52	место в	3	3
53	он сам	2	3
54	же как	5	3
55	жизни в	3	3
56	с этой	6	3
57	и отчасти	2	3
58	одной из	5	3
59	в самом	4	3
60	и мы	3	3
61	он не	2	3
62	в котором	2	3
63	не является	3	3
64	то что	6	3
65	вместе с	2	3
66	в их	11	3
67	так как	7	3
68	в таком	3	3
69	этот вопрос	2	3
70	тем что	3	3
71	в своих	2	3
72	в которых	3	3
73	в себе	9	3
74	между тем	8	3
75	не означает	2	2
76	с другой	7	2
77	в стороне	3	2
78	в одном	2	2
79	вовсе не	6	2
80	во всяком	3	2
81	такой же	2	2
82	что на	2	2
83	в ее	8	2
84	и если	2	2
85	в частности	5	2
86	но если	5	2
87	человеческой культуры	2	2
88	всяком случае	3	2
89	точка зрения	2	2
90	по преимуществу	2	2
91	в процессе	4	2
92	в истории	2	2
93	начиная с	2	2
94	и других	2	2
95	и что	2	2
96	и наконец	2	2
97	на этот	2	2
98	другой стороны	2	2
99	и по	5	2
100	во многом	2	2
101	во многих	4	2
102	с другими	2	2
103	имеет в	2	2
104	из них	3	2
105	в виде	5	2
106	могут быть	2	2
107	и еще	2	2
108	и только	3	2
109	только в	9	2
110	этот факт	3	2
111	при помощи	2	2
112	в россии	5	2
113	и поэтому	2	2
114	одном из	2	2
