N	2gram	Vygotskiy__7	VrazhdaK
1	не только	24	9
2	в этом	29	8
3	и что	6	8
4	и в	26	8
5	но и	11	7
6	что в	12	7
7	то что	24	7
8	в котором	4	6
9	в нем	2	6
10	все же	6	6
11	как и	15	6
12	в начале	5	6
13	но в	4	6
14	и с	5	6
15	то же	8	5
16	и не	18	5
17	об этом	3	5
18	в то	3	5
19	уже в	2	4
20	для нас	2	4
21	как бы	6	4
22	все это	3	4
23	целый ряд	4	4
24	это не	3	4
25	что он	8	4
26	так же	14	4
27	с ним	3	4
28	в своих	2	4
29	может быть	7	4
30	несмотря на	2	4
31	о том	4	4
32	в ней	3	4
33	в виду	5	4
34	в этот	3	3
35	я не	3	3
36	связи с	4	3
37	что у	4	3
38	и во	4	3
39	в конце	4	3
40	к этому	2	3
41	на то	4	3
42	в том	18	3
43	раз в	2	3
44	и его	12	3
45	том что	17	3
46	тем что	9	3
47	в его	4	3
48	его в	2	3
49	наряду с	2	3
50	но он	2	3
51	и о	3	3
52	в чем	3	3
53	одним из	2	3
54	он не	3	3
55	его с	3	2
56	в известном	2	2
57	в своей	3	2
58	не менее	4	2
59	никогда не	4	2
60	вместе с	12	2
61	его и	2	2
62	столь же	2	2
63	как раз	3	2
64	не может	11	2
65	а в	2	2
66	отношения к	2	2
67	таким образом	23	2
68	в одну	2	2
69	в период	2	2
70	но это	3	2
71	в той	4	2
72	сказал он	2	2
73	не мог	2	2
74	и он	2	2
75	мы знаем	2	2
76	с точки	21	2
77	в этой	3	2
78	и то	7	2
79	же как	8	2
80	в момент	4	2
81	точки зрения	28	2
82	в свою	2	2
83	и ее	2	2
84	в себе	9	2
85	отношение к	2	2
86	для него	3	2
87	еще не	4	2
88	во время	2	2
89	о чем	4	2
90	ответ на	2	2
91	том же	2	2
