N	2gram	Bakhtin_Pr_3	Myshleni
1	точки зрения	4	26
2	таким образом	6	26
3	в том	14	24
4	и в	53	23
5	том что	5	21
6	с точки	2	18
7	то что	9	17
8	в этом	8	17
9	не только	4	16
10	что в	2	14
11	может быть	12	14
12	но и	7	14
13	как и	11	14
14	в его	8	14
15	не может	2	12
16	в развитии	3	12
17	как бы	14	11
18	сказать что	10	11
19	и мышления	2	11
20	с другой	2	10
21	прежде всего	15	10
22	и не	15	9
23	между тем	2	9
24	и с	6	9
25	вместе с	2	9
26	самого начала	4	8
27	с самого	3	8
28	и на	18	8
29	в основе	5	8
30	то же	6	8
31	в самом	2	7
32	по отношению	2	7
33	в то	5	7
34	так как	7	7
35	что он	4	7
36	мы не	4	7
37	и ее	6	7
38	и тем	2	6
39	все это	8	6
40	именно в	2	6
41	потому что	5	6
42	с этим	2	6
43	о том	2	6
44	в сущности	10	6
45	по сравнению	4	6
46	и его	10	6
47	мы можем	5	6
48	тем что	2	6
49	в себе	5	6
50	только в	4	6
51	перед нами	5	5
52	в собственном	2	5
53	можно сказать	8	5
54	в своих	2	5
55	мы должны	4	5
56	и все	10	5
57	но в	5	5
58	и более	2	5
59	сравнению с	4	5
60	а затем	4	5
61	по своей	9	5
62	он не	3	5
63	слова и	3	5
64	собственном смысле	2	5
65	так и	6	5
66	как мы	5	5
67	тем более	2	5
68	и т.д	2	5
69	но не	5	4
70	не в	2	4
71	при этом	3	4
72	все эти	9	4
73	их в	2	4
74	с его	2	4
75	для всех	2	4
76	к этому	4	4
77	и к	5	4
78	по существу	5	4
79	было бы	5	4
80	в своей	3	4
81	сих пор	5	4
82	как в	7	4
83	во всей	4	4
84	хотя бы	2	4
85	мы видим	2	4
86	до сих	5	4
87	уже в	2	3
88	я не	4	3
89	что это	2	3
90	и от	3	3
91	на все	2	3
92	что именно	2	3
93	мы и	2	3
94	обе эти	3	3
95	и если	3	3
96	значение в	4	3
97	в их	2	3
98	и других	9	3
99	мы находим	2	3
100	вовсе не	3	3
101	в одной	2	3
102	во всем	2	3
103	как он	2	3
104	смысле этого	2	3
105	этих двух	2	3
106	во всех	12	3
107	не могу	3	3
108	человека и	7	3
109	а не	11	3
110	ко всем	2	3
111	которые не	2	3
112	он в	2	3
113	могут быть	4	3
114	и это	3	3
115	в которой	2	3
116	в области	3	3
117	ничего не	6	3
118	связана с	2	2
119	никогда не	2	2
120	в конце	3	2
121	в смысле	2	2
122	в зависимости	2	2
123	выше и	2	2
124	же время	5	2
125	несмотря на	2	2
126	хотя и	4	2
127	один из	6	2
128	и мысли	2	2
129	мы видели	2	2
130	жизни и	9	2
131	и до	5	2
132	той же	5	2
133	начиная с	3	2
134	и той	2	2
135	и наконец	2	2
136	и даже	2	2
137	а в	2	2
138	говорить о	2	2
139	в этих	5	2
140	как это	2	2
141	каждого из	2	2
142	главным образом	3	2
143	в них	2	2
144	в ее	3	2
145	зависимости от	2	2
146	на пороге	10	2
147	со всеми	8	2
148	в один	2	2
149	которые мы	2	2
150	наконец в	2	2
151	на ее	2	2
152	и потому	5	2
153	с ней	3	2
154	ее в	3	2
155	в известной	2	2
156	в двух	2	2
157	между ними	2	2
158	почти всегда	3	2
159	с другими	3	2
160	можно назвать	2	2
161	человека к	3	2
