N	2gram	Nazirov_Vr_1	Istorich
1	и в	8	26
2	т е	3	22
3	никогда не	2	13
4	что в	7	12
5	таким образом	2	12
6	в том	3	12
7	в этом	8	12
8	может быть	4	11
9	том что	3	10
10	и не	5	10
11	не только	9	10
12	что он	4	9
13	еще не	2	9
14	но и	7	9
15	в нем	6	8
16	все же	6	8
17	вместе с	2	8
18	и это	2	8
19	с ним	4	8
20	уже не	2	7
21	и его	3	7
22	у него	5	7
23	о том	4	7
24	но в	6	7
25	то что	7	6
26	так в	2	6
27	не может	2	6
28	и с	6	6
29	в русской	3	6
30	как и	6	5
31	в ней	4	5
32	в его	3	5
33	то же	5	5
34	и что	8	5
35	тем что	3	5
36	в то	5	5
37	его в	3	5
38	это не	4	4
39	с его	3	4
40	но это	2	4
41	в это	2	4
42	как бы	4	4
43	после этого	2	4
44	и он	2	4
45	а также	2	4
46	но как	2	4
47	при помощи	2	3
48	и ее	2	3
49	в них	2	3
50	на место	2	3
51	к этому	3	3
52	на первый	2	3
53	же как	2	3
54	наряду с	3	3
55	в него	2	3
56	его с	2	3
57	в своей	2	3
58	а в	2	3
59	при этом	4	3
60	там же	2	3
61	в своих	4	3
62	и то	2	3
63	их в	2	3
64	в себе	2	3
65	не было	5	3
66	далеко не	3	3
67	о чем	2	2
68	и как	3	2
69	в эту	2	2
70	в своем	3	2
71	что у	3	2
72	но он	3	2
73	после смерти	2	2
74	на то	3	2
75	мы знаем	2	2
76	для нас	4	2
77	он был	3	2
78	одна из	2	2
79	так же	4	2
80	могли быть	2	2
81	целый ряд	4	2
82	тогда как	2	2
83	он не	3	2
84	а с	2	2
85	человека в	3	2
86	и далее	2	2
87	к себе	2	2
88	в этой	2	2
89	же не	2	2
