N	2gram	Potebnia_M_1	Myshleni
1	в том	26	33
2	том что	16	27
3	точки зрения	8	26
4	то что	10	20
5	в этом	15	19
6	с точки	3	18
7	того что	8	17
8	и в	39	15
9	не только	21	15
10	речи и	10	15
11	что в	22	14
12	таким образом	13	14
13	говорит он	4	12
14	того чтобы	2	12
15	в самом	3	11
16	в целом	2	10
17	но и	20	10
18	было бы	12	10
19	для того	3	10
20	мы не	10	10
21	мы можем	2	10
22	в своем	3	9
23	может быть	27	9
24	не может	22	9
25	что мы	4	9
26	о том	2	9
27	в сущности	2	9
28	связи с	3	9
29	так и	13	8
30	никогда не	4	8
31	не в	15	8
32	заключается в	3	8
33	и что	10	8
34	если бы	14	8
35	с но	4	8
36	к тому	4	7
37	одной стороны	3	7
38	с одной	3	7
39	и не	18	7
40	потому что	52	7
41	как бы	6	7
42	по себе	10	7
43	он не	3	7
44	во всяком	3	7
45	что это	3	6
46	в теории	2	6
47	как мы	2	6
48	в этой	3	6
49	в виду	2	6
50	на то	2	6
51	мы видели	4	6
52	по отношению	13	6
53	с другой	7	6
54	сказать что	3	6
55	в истории	7	6
56	мы должны	3	6
57	но в	9	6
58	по этому	2	6
59	вовсе не	5	6
60	как и	9	6
61	вместе с	8	6
62	мысль что	5	6
63	если мы	3	6
64	на этот	2	6
65	к которому	3	6
66	там где	4	6
67	это не	7	5
68	вопрос о	4	5
69	и их	3	5
70	и даже	4	5
71	речь и	2	5
72	друг друга	5	5
73	тогда когда	9	5
74	все что	2	5
75	отношению к	13	5
76	то же	6	5
77	этот вопрос	2	5
78	связь между	2	5
79	на деле	4	5
80	независимо от	6	4
81	прежде всего	4	4
82	из этих	4	4
83	что все	3	4
84	для нас	9	4
85	по поводу	3	4
86	несмотря на	5	4
87	в них	3	4
88	что оно	2	4
89	не имеет	5	4
90	так же	5	4
91	а в	5	4
92	и с	3	4
93	с и	3	4
94	в начале	2	4
95	могли бы	2	4
96	при помощи	2	4
97	так как	21	4
98	для всех	5	4
99	все же	6	4
100	мысли с	3	4
101	мы видим	4	4
102	в своей	3	4
103	как в	10	4
104	того как	6	4
105	из того	2	4
106	хотя бы	2	4
107	и его	5	4
108	с в	5	4
109	только в	25	4
110	в которой	2	4
111	только для	3	3
112	мы будем	2	3
113	но на	2	3
114	для этого	2	3
115	в собственном	2	3
116	что именно	2	3
117	очевидно что	3	3
118	не можем	2	3
119	для него	4	3
120	при этом	6	3
121	со стороны	8	3
122	развития и	3	3
123	языка и	17	3
124	и только	2	3
125	что для	3	3
126	в самой	3	3
127	ни малейшего	2	3
128	и по	6	3
129	что как	3	3
130	этой теории	4	3
131	к этой	3	3
132	с ним	3	3
133	и все	3	3
134	не существует	2	3
135	с этим	7	3
136	что можно	3	3
137	таким же	2	3
138	о которых	2	3
139	об отношении	3	3
140	тем более	2	3
141	но не	8	3
142	утверждает что	2	3
143	того же	3	3
144	что при	5	3
145	для себя	3	3
146	только что	2	3
147	вытекает из	2	3
148	тем самым	4	3
149	а не	21	3
150	или в	2	3
151	и это	3	3
152	которое мы	2	3
153	чем в	2	2
154	не могут	4	2
155	сама по	3	2
156	что если	3	2
157	в другой	3	2
158	и есть	2	2
159	самый процесс	2	2
160	в этих	7	2
161	столь же	3	2
162	вопросом о	2	2
163	с этой	2	2
164	на все	2	2
165	в полном	2	2
166	как например	2	2
167	с логикой	3	2
168	что на	6	2
169	и как	6	2
170	но все	2	2
171	и более	2	2
172	и другое	3	2
173	когда в	3	2
174	только тогда	5	2
175	мы думаем	2	2
176	и той	3	2
177	на язык	7	2
178	его с	2	2
179	и тем	3	2
180	с ее	2	2
181	после этого	2	2
182	могут быть	9	2
183	от того	4	2
184	в их	2	2
185	есть нечто	4	2
186	каким образом	3	2
187	и других	4	2
188	о языке	3	2
189	должно быть	7	2
190	в других	2	2
191	увидим что	4	2
192	то он	2	2
193	не следует	5	2
194	в более	4	2
195	в применении	2	2
196	но если	2	2
197	во всем	4	2
198	в одном	8	2
199	которые не	2	2
200	бы они	2	2
201	нисколько не	2	2
202	как увидим	2	2
203	были бы	3	2
204	он должен	2	2
205	в стороне	4	2
206	не могло	3	2
207	этом смысле	4	2
208	связь с	2	2
209	бы ни	4	2
210	вопрос об	3	2
211	стороны и	2	2
212	друг от	2	2
213	мы увидим	3	2
214	от друга	2	2
215	в один	2	2
216	за пределы	2	2
217	судить о	3	2
218	том же	2	2
219	к ней	2	2
220	в его	5	2
221	и развития	2	2
222	что и	6	2
223	что речь	2	2
224	во всех	5	2
225	что же	2	2
226	и для	5	2
227	в течение	2	2
228	но с	2	2
229	для человека	2	2
230	той же	3	2
231	тому как	4	2
232	тем что	9	2
233	само по	4	2
234	думаем что	2	2
235	подобно тому	3	2
236	в себе	13	2
237	и вообще	3	2
238	жизни человека	2	2
239	его к	2	2
240	заметить что	2	2
241	не потому	2	2
242	стало быть	2	2
