N	2gram	Berdyaev_V_1	Myslijsy
1	потому что	4	46
2	в том	3	32
3	и в	16	30
4	не только	2	21
5	только в	2	21
6	для нас	2	20
7	но и	5	19
8	том что	2	18
9	то что	9	18
10	того что	5	18
11	что в	3	17
12	не есть	6	17
13	не в	3	15
14	и не	20	15
15	а не	7	15
16	что и	3	13
17	так как	9	13
18	а в	2	12
19	есть уже	2	11
20	так и	4	11
21	как и	4	10
22	и что	3	10
23	в этом	4	10
24	для него	2	9
25	в нем	4	9
26	мы не	2	9
27	между тем	2	9
28	в ней	4	8
29	что не	4	8
30	что мы	4	8
31	и то	2	8
32	к тому	3	7
33	с тем	2	7
34	но не	2	7
35	тем что	2	7
36	и теперь	2	6
37	что он	4	6
38	но это	3	6
39	то это	3	6
40	уже не	2	6
41	не имеет	3	6
42	с ним	2	6
43	не могут	2	5
44	в них	3	5
45	человека и	6	5
46	еще не	8	5
47	должно быть	3	5
48	и т	2	5
49	что я	3	5
50	до того	2	4
51	оно не	3	4
52	все это	5	4
53	все что	4	4
54	в его	4	4
55	в котором	4	4
56	один из	2	4
57	не к	2	4
58	не было	3	4
59	если не	3	4
60	все равно	2	4
61	для человека	2	4
62	и это	2	4
63	и потому	7	4
64	и есть	4	3
65	могут быть	2	3
66	тому что	3	3
67	прежде всего	2	3
68	и все	4	3
69	что все	4	3
70	в образе	4	3
71	а к	2	3
72	не будет	2	3
73	в последнем	2	3
74	вслед за	2	3
75	как бы	5	3
76	и тогда	2	3
77	т д	2	3
78	того чтобы	2	3
79	говорить о	4	3
80	самого себя	2	3
81	за ним	3	3
82	в чем	3	3
83	на нас	2	2
84	его к	2	2
85	что они	7	2
86	от него	2	2
87	уже на	2	2
88	и мы	3	2
89	но мы	2	2
90	жизни и	3	2
91	в своей	3	2
92	в форме	2	2
93	что есть	5	2
94	а с	2	2
95	когда в	2	2
96	я думаю	2	2
97	их в	3	2
98	ни в	3	2
99	от этого	3	2
100	людей и	2	2
101	а между	2	2
