N	2gram	Nazirov_Tr_1	Mirosoze
1	и в	18	46
2	у достоевского	5	34
3	в нем	4	22
4	у него	6	22
5	может быть	7	21
6	в этом	9	20
7	никогда не	2	18
8	для него	3	18
9	и не	7	18
10	не только	8	18
11	но и	4	15
12	не может	5	15
13	как и	5	13
14	прежде всего	4	12
15	друг друга	2	12
16	потому что	2	12
17	и он	3	11
18	но в	6	10
19	он не	2	10
20	в себе	4	10
21	он был	2	9
22	не в	2	9
23	но это	4	8
24	как бы	7	8
25	в своем	3	8
26	для достоевского	2	8
27	отношение к	2	8
28	в мире	3	7
29	в этой	4	7
30	что он	6	7
31	человеческой личности	2	7
32	ивана карамазова	2	7
33	как в	3	7
34	он сам	7	6
35	вопрос о	2	6
36	что это	5	6
37	так же	4	6
38	в бесах	9	6
39	и здесь	2	6
40	то же	5	5
41	я не	4	5
42	бы и	2	5
43	что все	2	5
44	в самом	2	5
45	один из	3	5
46	что она	2	5
47	это не	5	5
48	в конце	3	5
49	и все	4	5
50	достоевский не	4	5
51	к тому	2	5
52	то что	4	5
53	и его	6	5
54	в его	3	5
55	и это	2	5
56	что в	4	4
57	до конца	2	4
58	нет в	2	4
59	не имеет	2	4
60	в русском	2	4
61	с его	2	4
62	том что	4	4
63	что и	2	4
64	так и	5	4
65	уже не	2	4
66	жизнь и	3	4
67	петр верховенский	7	4
68	настасья филипповна	2	4
69	но достоевский	4	3
70	в образе	6	3
71	ни в	2	3
72	в том	2	3
73	достоевский в	7	3
74	любви и	2	3
75	было в	2	3
76	достоевским в	2	3
77	не мог	2	3
78	не так	2	3
79	и на	7	3
80	и с	7	3
81	о том	2	3
82	его в	2	3
83	с ним	3	3
84	сам достоевский	3	3
85	тем что	2	3
86	уже в	3	2
87	не был	2	2
88	ставрогина к	2	2
89	но эта	2	2
90	так что	2	2
91	как у	2	2
92	к нему	3	2
93	и за	2	2
94	что за	3	2
95	должно быть	3	2
96	личности и	2	2
97	не случайно	2	2
98	и что	4	2
99	еще в	2	2
100	говорит что	2	2
101	как будто	3	2
102	достоевского в	3	2
103	ничего не	2	2
