N	2gram	Losev_Dial_4	OGranits
1	и в	15	13
2	и его	7	12
3	прежде всего	11	9
4	не может	11	8
5	и не	30	8
6	может быть	17	8
7	и их	2	7
8	точки зрения	14	7
9	и пр	9	7
10	в его	4	7
11	таким образом	5	6
12	не только	8	6
13	то что	16	6
14	только в	7	6
15	мы должны	4	6
16	как бы	14	6
17	все же	2	5
18	с точки	9	5
19	хотя бы	4	5
20	и наконец	3	5
21	то же	9	4
22	но мы	2	4
23	в своей	3	4
24	все это	9	4
25	лишь в	2	4
26	мы не	9	4
27	мы можем	3	4
28	было бы	9	4
29	но в	3	4
30	и уже	4	3
31	что в	7	3
32	никогда не	2	3
33	но и	4	3
34	так и	5	3
35	что же	2	3
36	в их	3	3
37	не как	4	3
38	и все	11	3
39	в одном	4	3
40	со всей	2	3
41	в ее	2	3
42	да и	2	3
43	как и	7	3
44	не в	8	3
45	за пределы	3	3
46	в которой	2	3
47	и то	3	3
48	есть прежде	3	3
49	ни один	2	3
50	в себе	8	3
51	говорить о	11	3
52	ничего общего	4	3
53	с этим	3	3
54	и для	5	3
55	общего с	3	3
56	так как	14	3
57	но для	2	3
58	не менее	2	2
59	себе что	2	2
60	с этой	2	2
61	а как	2	2
62	и тем	6	2
63	в нем	5	2
64	ее в	2	2
65	во всей	2	2
66	сознания и	3	2
67	а не	18	2
68	художественное произведение	2	2
69	что эта	2	2
70	в этот	2	2
71	думать что	2	2
72	в отношении	2	2
73	говорить об	2	2
74	другой стороны	2	2
75	она является	2	2
76	в них	2	2
77	собственно говоря	2	2
78	вне всякой	2	2
79	в течение	4	2
80	все эти	3	2
81	вовсе не	6	2
82	и истории	3	2
83	есть не	5	2
84	как в	3	2
85	если бы	6	2
86	в чем	8	2
87	не имеет	14	2
88	в том	11	2
89	что иное	8	2
90	так же	4	2
91	не мог	2	2
92	том что	10	2
93	мы видим	4	2
94	с ними	4	2
95	в данном	3	2
96	что они	4	2
97	в этом	11	2
98	от этого	3	2
99	учение о	5	2
100	тем что	2	2
101	и следовательно	3	2
102	могут быть	3	2
103	при этом	2	2
104	чем же	2	2
105	и ее	8	2
106	не что	8	2
107	во всем	2	2
108	и может	2	2
109	представим себе	2	2
110	того или	2	2
111	мы уже	3	2
112	в целях	2	2
113	в области	3	2
114	нет ничего	6	2
115	в самом	2	2
116	мог бы	2	2
117	и при	2	2
118	бы в	4	2
119	только его	2	2
120	между собою	2	2
121	в ней	5	2
122	иное как	8	2
