N	2gram	Kanaev_Sov_1	Mirosoze
1	может быть	12	30
2	не только	4	29
3	и в	7	28
4	не может	17	28
5	а не	3	25
6	в этом	7	20
7	у него	2	17
8	не в	3	16
9	и есть	2	14
10	в нем	3	13
11	в самом	2	11
12	и не	6	11
13	что в	2	10
14	прежде всего	5	10
15	и все	3	10
16	было бы	3	10
17	и потому	3	10
18	в его	2	9
19	в конце	3	7
20	но в	3	7
21	в себе	3	7
22	в том	4	6
23	в этой	3	6
24	все это	3	6
25	вместе с	4	6
26	в которой	2	6
27	не могут	2	5
28	это не	4	5
29	у нас	3	5
30	как и	6	5
31	нет и	4	5
32	уже в	3	4
33	и по	2	4
34	а в	4	4
35	точки зрения	12	4
36	уже не	2	4
37	для нас	3	3
38	с этим	2	3
39	так как	4	3
40	на этом	2	3
41	он должен	2	3
42	ничего не	6	3
43	может не	3	2
44	вопрос о	4	2
45	в свою	2	2
46	и мы	3	2
47	на этот	2	2
48	жизни и	4	2
49	могут быть	2	2
50	отличается от	3	2
51	все эти	5	2
52	у всех	3	2
53	и что	2	2
54	как бы	4	2
55	как он	3	2
56	когда мы	3	2
57	только один	2	2
58	и во	2	2
59	мы видим	2	2
60	ведь это	3	2
61	и к	3	2
62	все же	3	2
63	приводит к	2	2
64	она может	2	2
65	к чему	2	2
66	он в	3	2
