N	2gram	Propp_Isto_2	Dialekti
1	т е	29	48
2	и не	11	27
3	а не	5	26
4	и в	15	24
5	и т	19	24
6	не только	18	23
7	т д	18	23
8	не может	5	19
9	не просто	2	18
10	ничего не	7	17
11	и есть	5	16
12	и что	6	15
13	то что	12	14
14	может быть	17	13
15	таким образом	7	13
16	в мифе	2	13
17	что он	24	13
18	что это	6	12
19	того что	3	12
20	есть и	2	12
21	в сущности	2	10
22	ни в	2	9
23	то это	6	9
24	но и	14	9
25	что она	5	9
26	нет ничего	2	9
27	прежде всего	5	8
28	так что	6	8
29	что мы	3	8
30	том что	7	8
31	в этом	11	8
32	что в	12	7
33	никогда не	15	7
34	другими словами	4	7
35	в особенности	2	7
36	потому что	9	7
37	в виду	2	7
38	как и	2	7
39	иное как	2	6
40	я не	2	6
41	кроме того	2	6
42	но если	3	6
43	все это	3	6
44	и только	2	6
45	д и	2	6
46	и с	4	6
47	что иное	2	6
48	о том	3	6
49	так как	14	6
50	превращается в	2	6
51	не что	2	6
52	об этом	11	6
53	что и	6	6
54	то же	10	6
55	самом деле	2	6
56	и пр	7	6
57	в том	6	5
58	но это	4	5
59	и его	3	5
60	одно из	2	5
61	как это	3	5
62	вопрос о	4	5
63	есть ли	2	5
64	было бы	5	5
65	он не	8	5
66	так и	5	5
67	мы не	3	5
68	только в	6	5
69	с другой	2	4
70	это не	2	4
71	к тому	5	4
72	хотя бы	2	4
73	так же	13	4
74	сказать что	2	4
75	и ничего	2	4
76	где же	2	4
77	о нем	4	4
78	тому как	3	4
79	и то	2	4
80	подобно тому	3	4
81	и это	3	4
82	перед нами	2	3
83	не было	2	3
84	все же	9	3
85	в одной	4	3
86	мы знаем	11	3
87	не в	7	3
88	она не	5	3
89	одной стороны	3	3
90	в нем	7	3
91	из них	2	3
92	но его	2	3
93	с одной	4	3
94	все эти	4	3
95	и на	4	3
96	с этим	5	3
97	он и	3	3
98	мы уже	6	3
99	при помощи	2	3
100	тем что	4	3
101	он должен	2	3
102	в силу	2	3
103	на то	3	3
104	одна из	2	3
105	как бы	6	3
106	также не	2	3
107	имеется в	2	3
108	тем самым	2	3
109	к нему	5	3
110	той же	2	3
111	и ее	2	3
112	не знает	2	3
113	зависит от	2	2
114	же как	5	2
115	что у	2	2
116	из этих	3	2
117	точно так	6	2
118	следовательно не	2	2
119	показывает что	4	2
120	для нас	4	2
121	тому же	2	2
122	еще не	9	2
123	при этом	4	2
124	и если	2	2
125	например в	2	2
126	и ноги	2	2
127	себя и	2	2
128	а именно	3	2
129	другой стороны	2	2
130	именно в	2	2
131	они не	4	2
132	руки и	4	2
133	и по	2	2
134	его не	2	2
135	а в	12	2
136	же и	3	2
137	их в	2	2
138	в ней	4	2
139	он дает	2	2
140	она и	2	2
141	и здесь	9	2
142	иметь в	2	2
143	тогда и	2	2
144	когда мы	2	2
145	к этой	4	2
146	но в	6	2
147	в третий	2	2
148	же мы	2	2
149	но они	4	2
150	этого не	5	2
151	с которой	2	2
152	у него	4	2
153	на котором	2	2
154	в их	3	2
155	все еще	2	2
156	и эти	2	2
157	она всегда	3	2
158	по существу	2	2
159	но не	2	2
160	говорят что	5	2
161	ни один	2	2
162	и когда	2	2
163	же можно	3	2
164	ее в	2	2
165	так в	3	2
166	и они	4	2
167	на стадии	3	2
168	и она	3	2
169	и для	2	2
170	или в	2	2
171	что этот	3	2
172	могут быть	2	2
173	в себе	4	2
174	его на	2	2
175	в его	6	2
