N	2gram	Losev_Vesc_1	VelikijI
1	и не	29	20
2	и в	21	16
3	то что	27	9
4	так как	7	9
5	еще не	8	8
6	что они	6	7
7	и потому	5	7
8	а не	19	7
9	не есть	49	6
10	хотя и	4	5
11	как бы	12	5
12	но и	18	5
13	все это	5	5
14	что есть	5	5
15	того что	8	5
16	и есть	26	4
17	что все	2	4
18	в нем	2	4
19	как и	8	4
20	что мы	14	4
21	в котором	3	4
22	так и	3	4
23	что не	5	4
24	потому что	16	4
25	в этом	4	4
26	в ней	12	4
27	говорить о	6	4
28	и все	5	4
29	в его	2	4
30	о смысле	4	4
31	если не	3	3
32	должна быть	4	3
33	что в	9	3
34	в конце	2	3
35	в жизни	3	3
36	в том	8	3
37	не в	5	3
38	но это	10	3
39	что я	24	3
40	тот же	3	3
41	к тому	3	3
42	во всех	2	3
43	никогда не	2	3
44	оно не	3	3
45	то это	3	3
46	что и	3	3
47	жизни и	2	3
48	в своей	5	3
49	бы и	5	3
50	тому что	2	3
51	и что	15	3
52	хотя бы	6	3
53	и для	9	3
54	должно быть	6	3
55	их в	3	3
56	от этого	2	3
57	все эти	3	3
58	в чем	6	3
59	но в	5	3
60	с тем	5	2
61	его и	2	2
62	на нас	2	2
63	это не	5	2
64	прежде всего	9	2
65	для нас	2	2
66	да и	3	2
67	том что	8	2
68	когда я	5	2
69	одна из	5	2
70	но не	5	2
71	для него	4	2
72	того чтобы	3	2
73	и во	3	2
74	не только	36	2
75	один из	3	2
76	не с	7	2
77	и т	19	2
78	не будет	12	2
79	зачем же	2	2
80	т д	19	2
81	истории и	2	2
82	личность как	2	2
83	а с	3	2
84	все равно	2	2
85	тем что	2	2
86	в себя	13	2
87	мы не	6	2
88	уже не	9	2
89	а есть	2	2
90	вот почему	3	2
91	а в	4	2
92	с ним	8	2
93	можно было	2	2
94	и то	10	2
95	является в	2	2
96	раз навсегда	2	2
97	только в	14	2
98	и это	14	2
99	во всяком	3	2
