N	2gram	Losev_Prob_4	Myshleni
1	в этом	9	29
2	точки зрения	14	28
3	и в	20	26
4	не только	24	24
5	для себя	2	24
6	то что	15	24
7	таким образом	8	23
8	с точки	11	21
9	того чтобы	2	19
10	в том	20	18
11	и не	28	18
12	для того	3	18
13	том что	12	17
14	потому что	15	16
15	как и	6	15
16	так же	5	14
17	так как	5	14
18	как мы	3	14
19	что в	3	12
20	вместе с	5	12
21	и его	10	12
22	в которой	2	11
23	но и	14	11
24	только не	4	11
25	не может	5	11
26	что они	2	10
27	по своему	6	9
28	в самом	2	9
29	что мы	3	9
30	тем что	3	9
31	в себе	12	9
32	то же	7	8
33	что она	4	8
34	сказать что	7	8
35	что он	8	8
36	тем самым	4	8
37	только в	23	8
38	к тому	3	7
39	в меру	2	7
40	прежде всего	11	7
41	может быть	9	7
42	и к	3	7
43	мы не	7	7
44	и то	2	7
45	в какой	4	6
46	в смысле	5	6
47	и тем	7	6
48	именно в	7	6
49	заключается в	2	6
50	мы должны	3	6
51	как бы	4	6
52	между собой	2	6
53	в ее	5	6
54	и что	2	6
55	было бы	14	6
56	во всех	4	6
57	все эти	16	6
58	все же	2	6
59	самом деле	3	6
60	а не	7	6
61	в сознании	3	6
62	что это	2	6
63	можно сказать	5	5
64	если бы	8	5
65	в виду	6	5
66	данном случае	5	5
67	никак не	4	5
68	и с	7	5
69	себе в	3	5
70	в начале	3	5
71	же самое	6	5
72	как это	3	5
73	с тем	4	5
74	в качестве	10	5
75	только что	2	5
76	если мы	5	5
77	и для	4	5
78	в данном	6	5
79	не менее	10	4
80	в нашем	12	4
81	с другой	7	4
82	и от	6	4
83	в конце	2	4
84	так что	6	4
85	в котором	2	4
86	то и	5	4
87	и наконец	4	4
88	друг друга	2	4
89	и во	4	4
90	в его	3	4
91	о том	5	4
92	но в	8	4
93	по этому	2	4
94	стороны и	2	4
95	связи с	3	4
96	еще не	7	4
97	одной из	4	4
98	не есть	12	4
99	как в	5	4
100	это и	4	4
101	в той	8	4
102	не в	13	4
103	это есть	3	4
104	и только	4	4
105	едва ли	10	4
106	в области	3	4
107	учения о	2	4
108	учение о	3	3
109	содержит в	8	3
110	и другое	3	3
111	для этого	2	3
112	все это	9	3
113	это не	7	3
114	слова но	3	3
115	тем не	10	3
116	но это	6	3
117	есть в	7	3
118	для него	3	3
119	в ней	7	3
120	и является	3	3
121	не является	10	3
122	только и	5	3
123	мы находим	2	3
124	но только	2	3
125	в самой	4	3
126	и по	2	3
127	он не	2	3
128	с ним	4	3
129	были бы	3	3
130	с собой	3	3
131	представить себе	2	3
132	по себе	11	3
133	есть не	6	3
134	об этом	6	3
135	во всем	2	3
136	в то	4	3
137	но не	5	3
138	и о	5	3
139	и потому	7	3
140	нет и	2	3
141	что и	3	3
142	в своей	4	3
143	каждой из	2	3
144	так и	10	3
145	только на	2	3
146	как раз	4	3
147	на самом	5	3
148	к нему	3	3
149	отличается от	4	3
150	с другими	3	3
151	мы можем	3	3
152	в этой	4	3
153	в чем	2	3
154	перед нами	13	2
155	уже в	4	2
156	и весь	3	2
157	казалось бы	3	2
158	можно ли	3	2
159	в этих	5	2
160	столь же	2	2
161	она является	2	2
162	никто не	2	2
163	само собой	3	2
164	не чем	2	2
165	точно так	3	2
166	то время	2	2
167	в математике	4	2
168	от всякой	2	2
169	подобного рода	11	2
170	мере не	5	2
171	для нас	6	2
172	ни в	17	2
173	что его	4	2
174	является не	2	2
175	случае не	5	2
176	на его	2	2
177	несмотря на	4	2
178	или в	5	2
179	но если	6	2
180	в нем	5	2
181	есть только	2	2
182	с ее	2	2
183	время как	2	2
184	и больше	2	2
185	не имеет	4	2
186	а в	4	2
187	также и	13	2
188	иным как	2	2
189	к его	3	2
190	и есть	4	2
191	но этот	2	2
192	его в	2	2
193	понятия но	2	2
194	в известном	2	2
195	человеческого сознания	2	2
196	с этим	4	2
197	вовсе не	21	2
198	но эта	2	2
199	у нас	14	2
200	то в	2	2
201	но именно	2	2
202	со всеми	2	2
203	совершенно не	3	2
204	только к	3	2
205	чем иным	2	2
206	к ней	2	2
207	мы ни	2	2
208	относится к	2	2
209	с ней	2	2
210	о которых	2	2
211	из этого	3	2
212	в отношении	4	2
213	этого понятия	2	2
214	даже если	3	2
215	она в	2	2
216	говорит что	2	2
217	что не	4	2
218	из которых	3	2
219	и он	2	2
220	почти всегда	2	2
221	какой мере	4	2
222	можно было	4	2
223	во всяком	8	2
224	и ее	4	2
225	не раз	2	2
226	здесь как	4	2
