N	2gram	Bakhtin_sl_1	Psycholo
1	в том	3	37
2	и в	41	32
3	том что	2	21
4	таким образом	9	21
5	потому что	2	21
6	то есть	26	21
7	так же	2	18
8	может быть	14	18
9	не может	14	17
10	точки зрения	16	17
11	при этом	6	13
12	то же	14	13
13	для того	2	13
14	в этом	12	13
15	если мы	2	12
16	в самом	5	12
17	не только	16	12
18	так как	3	12
19	было бы	3	11
20	в основе	5	11
21	как и	4	10
22	и т	28	10
23	но и	16	10
24	и не	16	10
25	с точки	8	10
26	никогда не	3	9
27	что все	2	9
28	как в	8	9
29	не в	7	8
30	т п	23	8
31	той же	2	8
32	того что	3	8
33	к тому	3	7
34	а не	15	7
35	в сущности	13	7
36	поэзии и	4	7
37	все эти	9	7
38	можно было	2	7
39	и его	14	7
40	сказать что	2	7
41	только в	6	7
42	что они	2	7
43	все время	3	6
44	он не	3	6
45	как бы	12	6
46	те же	2	6
47	формы и	3	6
48	о том	3	6
49	на все	2	5
50	в ней	4	5
51	далеко не	5	5
52	до сих	2	5
53	сих пор	2	5
54	все это	5	5
55	как раз	2	5
56	на самом	2	5
57	только на	2	5
58	и даже	6	5
59	и на	14	5
60	в то	14	5
61	же как	2	4
62	столь же	2	4
63	с этой	3	4
64	а на	2	4
65	и сам	3	4
66	и той	2	4
67	из этого	3	4
68	совершенно не	2	4
69	и по	2	4
70	и тем	2	4
71	в нем	30	4
72	все же	7	4
73	из них	3	4
74	данном случае	3	4
75	а в	6	4
76	и все	4	4
77	мы видим	2	4
78	и для	4	4
79	и те	2	4
80	в данном	3	4
81	в языке	5	4
82	тому что	2	4
83	и с	4	4
84	могут быть	19	4
85	с этим	3	4
86	в целом	2	4
87	ту же	4	4
88	которые в	3	4
89	ничего не	4	4
90	в сознании	2	4
91	между тем	2	4
92	по своему	2	3
93	не могут	3	3
94	в частности	2	3
95	но он	2	3
96	хотя бы	3	3
97	с другой	5	3
98	не как	4	3
99	и к	5	3
100	по существу	3	3
101	так что	2	3
102	до конца	12	3
103	в свою	3	3
104	например в	2	3
105	в своей	7	3
106	один из	4	3
107	с ее	4	3
108	так и	11	3
109	во всех	17	3
110	и ее	3	3
111	бы и	3	3
112	в их	4	3
113	в отношении	6	3
114	на этом	2	3
115	имеет дело	2	3
116	еще более	5	3
117	и других	3	3
118	образом в	3	3
119	время как	2	3
120	при всем	3	3
121	то время	2	3
122	как к	2	3
123	в смысле	4	3
124	он в	5	3
125	и то	2	3
126	в поэзии	3	3
127	отношении к	6	3
128	того или	2	3
129	но в	8	3
130	мы не	2	3
131	в узком	10	2
132	как только	3	2
133	слова в	8	2
134	в самых	2	2
135	есть как	3	2
136	с его	4	2
137	в них	6	2
138	это не	6	2
139	и от	4	2
140	точка зрения	8	2
141	с другими	5	2
142	в одном	2	2
143	они в	2	2
144	в каждом	4	2
145	имеет свой	2	2
146	или иного	2	2
147	во всяком	7	2
148	интерес к	2	2
149	и эти	2	2
150	том и	2	2
151	и здесь	3	2
152	тем и	2	2
153	в романе	21	2
154	же время	12	2
155	свою очередь	2	2
156	еще не	4	2
157	но не	2	2
158	того же	6	2
159	с этими	2	2
160	она не	3	2
161	и часто	4	2
162	роман и	5	2
163	вовсе не	7	2
164	на его	8	2
165	к нему	5	2
166	том же	4	2
167	и следовательно	7	2
168	в его	13	2
169	в него	3	2
170	всяком случае	5	2
171	в ее	2	2
172	оно не	6	2
173	в этих	2	2
174	отношение к	7	2
175	для нас	2	2
176	на том	2	2
177	в процессе	4	2
178	так в	2	2
179	не на	5	2
180	другой стороны	4	2
181	в особенности	8	2
182	т д	5	2
183	а с	2	2
184	не было	3	2
185	форм и	3	2
186	роль в	2	2
187	к своему	6	2
188	и у	2	2
189	ли он	4	2
190	в других	3	2
191	в поэтическом	7	2
192	у них	2	2
193	также и	3	2
194	в себе	3	2
195	и вообще	2	2
196	в свое	3	2
197	романе в	3	2
198	там где	4	2
199	эта форма	3	2
200	в которой	4	2
201	которая не	3	2
202	произведения как	3	2
