N	2gram	Medvedev_F_3	formyVre
1	и в	27	50
2	в романе	4	32
3	в этом	18	25
4	в нем	15	24
5	человека в	2	17
6	и его	19	16
7	в литературе	6	16
8	прежде всего	4	15
9	и не	30	14
10	как мы	8	14
11	вовсе не	28	13
12	как раз	8	13
13	в его	7	13
14	так и	21	12
15	человека и	2	11
16	может быть	25	11
17	таким образом	18	11
18	мы уже	3	11
19	то же	15	11
20	и как	4	10
21	но в	6	10
22	в конце	3	9
23	в том	7	9
24	же время	7	9
25	и др	2	9
26	все эти	6	9
27	в то	7	9
28	не только	9	9
29	с его	2	9
30	роль в	4	9
31	ничего не	2	9
32	в самом	11	8
33	и т	11	8
34	и их	5	8
35	но и	10	8
36	и на	3	8
37	жизни в	3	8
38	как и	14	8
39	того же	3	8
40	жизни и	4	8
41	ни в	8	8
42	т п	5	8
43	и во	2	7
44	в условиях	3	7
45	героя и	2	7
46	так сказать	5	7
47	все же	6	6
48	это не	3	6
49	в дальнейшем	5	6
50	с ее	2	6
51	не может	24	6
52	лишь в	9	6
53	так же	9	6
54	в результате	5	6
55	так как	9	6
56	и все	8	6
57	в жизни	11	6
58	связи с	5	6
59	во всех	3	6
60	то что	8	6
61	время в	3	6
62	в ее	4	6
63	как в	4	6
64	что в	8	5
65	не в	12	5
66	в пределах	8	5
67	этот процесс	3	5
68	в связи	4	5
69	в основе	3	5
70	точки зрения	16	5
71	всех этих	2	5
72	если бы	12	5
73	отнюдь не	8	5
74	романа в	3	5
75	но не	5	5
76	еще не	6	5
77	в основном	2	5
78	не могло	2	5
79	отношению к	3	5
80	и речи	2	5
81	того чтобы	5	5
82	для того	4	5
83	могут быть	4	5
84	в роман	4	4
85	в своем	2	4
86	характерно что	2	4
87	мы и	3	4
88	до конца	4	4
89	и следовательно	3	4
90	в котором	2	4
91	все это	7	4
92	этого романа	2	4
93	потому что	7	4
94	и с	3	4
95	в ней	5	4
96	между собой	4	4
97	в них	3	4
98	конечно не	4	4
99	в процессе	15	4
100	жизнь и	3	4
101	в той	3	4
102	том что	4	4
103	и для	6	4
104	только в	8	4
105	и это	2	4
106	здесь не	2	4
107	в основу	2	3
108	не могут	10	3
109	мы еще	2	3
110	в этих	3	3
111	в отношении	2	3
112	формы и	3	3
113	вследствие этого	3	3
114	к тому	4	3
115	да и	4	3
116	связаны с	2	3
117	с тем	7	3
118	при этом	8	3
119	xviii века	2	3
120	имеет место	3	3
121	в виду	3	3
122	по отношению	3	3
123	отношения к	2	3
124	этом отношении	3	3
125	но эта	2	3
126	они не	4	3
127	романа и	2	3
128	друг друга	5	3
129	вообще не	2	3
130	и те	4	3
131	их в	3	3
132	сказать что	3	3
133	его в	7	3
134	поэтому и	2	3
135	для них	7	3
136	был бы	2	3
137	на фоне	3	3
138	к этому	2	3
139	одной из	2	3
140	в сущности	2	3
141	и потому	5	3
142	что и	2	3
143	вместе с	6	3
144	только на	4	3
145	а не	17	3
146	между ними	15	3
147	мы не	4	3
148	в таком	2	3
149	более того	6	3
150	во всяком	6	3
151	быть только	2	3
152	и ее	6	3
153	в себе	3	3
154	входит в	8	3
155	и вне	2	3
156	место в	10	2
157	уже в	4	2
158	совсем не	5	2
159	этом романе	3	2
160	же как	3	2
161	никогда не	5	2
162	друг другу	2	2
163	его и	3	2
164	с другой	6	2
165	была бы	2	2
166	или иной	2	2
167	для нас	3	2
168	его от	2	2
169	лишь как	3	2
170	смысле слова	2	2
171	слагаются в	2	2
172	но для	2	2
173	не о	3	2
174	в целом	4	2
175	ни с	2	2
176	те же	3	2
177	можно только	2	2
178	с помощью	8	2
179	в самой	2	2
180	он становится	2	2
181	того что	3	2
182	и даже	2	2
183	в которых	3	2
184	же и	4	2
185	и является	4	2
186	в истории	5	2
187	необходимо чтобы	2	2
188	мы должны	2	2
189	как он	2	2
190	очень характерно	2	2
191	из нее	2	2
192	не является	5	2
193	к другому	2	2
194	здесь и	6	2
195	не как	2	2
196	же что	2	2
197	раз и	3	2
198	исторического процесса	3	2
199	тогда когда	4	2
200	ясно что	3	2
201	по себе	4	2
202	стороны и	2	2
203	одна из	2	2
204	и тех	2	2
205	равно как	3	2
206	было бы	6	2
207	в данной	2	2
208	не являются	2	2
209	но оно	2	2
210	очень важная	2	2
211	на почве	2	2
212	нет и	3	2
213	оно не	3	2
214	видения и	4	2
215	в своей	6	2
216	как бы	8	2
217	ее в	3	2
218	совершенно не	7	2
219	в отличие	2	2
220	связь между	4	2
221	в точном	2	2
222	если мы	7	2
223	уже не	3	2
224	и эта	3	2
225	с точки	14	2
226	хотя бы	6	2
227	той же	3	2
228	у них	2	2
229	в данном	6	2
230	если они	2	2
231	от этого	2	2
232	тем что	5	2
233	единства и	3	2
234	в каком	2	2
235	неотделимо от	2	2
236	ту же	2	2
237	слова и	4	2
238	дело в	2	2
239	там где	7	2
240	отличие от	2	2
