N	2gram	Vinokur_Ku_1	OGranits
1	и в	24	13
2	и его	5	12
3	прежде всего	9	9
4	не может	7	8
5	и не	12	8
6	может быть	13	8
7	точки зрения	14	7
8	и пр	15	7
9	в его	12	7
10	таким образом	12	6
11	не только	10	6
12	социального общения	3	6
13	то что	9	6
14	только в	11	6
15	как бы	7	6
16	все же	12	5
17	с точки	9	5
18	языка и	8	5
19	но ведь	2	5
20	хотя бы	10	5
21	то же	8	4
22	не является	2	4
23	в своей	2	4
24	лингвистического вкуса	3	4
25	все это	6	4
26	в каждом	2	4
27	еще и	5	4
28	только и	3	4
29	лишь в	2	4
30	было бы	15	4
31	но в	2	4
32	отношению к	9	3
33	что в	17	3
34	никогда не	2	3
35	но и	6	3
36	так и	7	3
37	что же	6	3
38	в их	3	3
39	по отношению	8	3
40	и все	2	3
41	в одном	3	3
42	превращается в	2	3
43	самом деле	9	3
44	языка как	5	3
45	как и	2	3
46	не в	11	3
47	в которой	6	3
48	и то	3	3
49	не столько	2	3
50	в пределах	4	3
51	в себе	3	3
52	с этим	4	3
53	и для	2	3
54	так как	9	3
55	с историей	2	2
56	не менее	7	2
57	подойти к	2	2
58	уже в	3	2
59	с этой	2	2
60	и тем	2	2
61	в нем	4	2
62	может иметь	2	2
63	ее в	2	2
64	в целом	4	2
65	о языке	8	2
66	а не	8	2
67	школы и	2	2
68	другой стороны	6	2
69	с другой	7	2
70	в языке	8	2
71	не на	4	2
72	в них	7	2
73	в связи	3	2
74	и должно	2	2
75	а в	5	2
76	речи не	2	2
77	все эти	6	2
78	вовсе не	10	2
79	роль в	4	2
80	или иного	3	2
81	разумеется что	2	2
82	в тех	4	2
83	к тому	5	2
84	как в	4	2
85	если бы	9	2
86	в общем	3	2
87	не имеет	2	2
88	в лингвистике	3	2
89	в г	3	2
90	в том	30	2
91	так же	4	2
92	не мог	2	2
93	том что	21	2
94	в зависимости	5	2
95	с ними	4	2
96	с помощью	7	2
97	в данном	4	2
98	зависимости от	6	2
99	что они	4	2
100	в этом	14	2
101	от этого	2	2
102	учение о	4	2
103	тем что	8	2
104	между тем	5	2
105	в структуре	2	2
106	при этом	6	2
107	нуждается в	3	2
108	истории языка	5	2
109	соответствии с	3	2
110	тот же	2	2
111	и может	3	2
112	несмотря на	3	2
113	того или	4	2
114	общения и	2	2
115	слова и	4	2
116	в области	7	2
117	в самом	10	2
118	и при	2	2
119	там где	4	2
120	бы в	7	2
121	на язык	4	2
122	между собою	2	2
123	в ней	6	2
124	иное как	2	2
125	и является	4	2
126	языковых форм	2	2
