N	2gram	Bakhtin_fo_1	Formalny
1	и не	14	30
2	вовсе не	13	28
3	и в	50	27
4	может быть	11	25
5	не может	6	24
6	так и	12	21
7	и его	16	19
8	таким образом	11	18
9	в этом	25	18
10	а не	3	17
11	точки зрения	5	16
12	в нем	24	15
13	в процессе	4	15
14	то же	11	15
15	между ними	3	15
16	как и	8	14
17	с точки	2	14
18	не в	5	12
19	если бы	5	12
20	в самом	8	11
21	в жизни	6	11
22	и т	8	11
23	место в	2	10
24	но и	8	10
25	не могут	3	10
26	лишь в	6	9
27	так как	6	9
28	не только	9	9
29	так же	6	9
30	что в	5	8
31	ни в	8	8
32	при этом	3	8
33	в пределах	5	8
34	как бы	2	8
35	с помощью	2	8
36	отнюдь не	5	8
37	и все	6	8
38	то что	6	8
39	как раз	13	8
40	входит в	3	8
41	как мы	14	8
42	только в	4	8
43	в том	9	7
44	же время	9	7
45	все это	4	7
46	потому что	4	7
47	в то	9	7
48	его в	3	7
49	с тем	3	7
50	для них	3	7
51	совершенно не	2	7
52	в его	13	7
53	если мы	2	7
54	там где	2	7
55	с другой	2	6
56	все эти	9	6
57	здесь и	2	6
58	но в	10	6
59	в литературе	16	6
60	более того	3	6
61	еще не	5	6
62	было бы	2	6
63	все же	6	6
64	в своей	2	6
65	хотя бы	2	6
66	и для	4	6
67	в данном	2	6
68	во всяком	3	6
69	и ее	3	6
70	вместе с	3	6
71	никогда не	2	5
72	в дальнейшем	6	5
73	совсем не	2	5
74	того чтобы	5	5
75	не является	2	5
76	и их	8	5
77	друг друга	3	5
78	в ней	4	5
79	в результате	6	5
80	в истории	2	5
81	но не	5	5
82	и потому	3	5
83	т п	8	5
84	тем что	2	5
85	связи с	6	5
86	так сказать	7	5
87	уже в	2	4
88	в роман	4	4
89	прежде всего	15	4
90	к тому	3	4
91	да и	3	4
92	и как	10	4
93	до конца	4	4
94	для того	5	4
95	же и	2	4
96	и является	2	4
97	в целом	2	4
98	жизни и	8	4
99	в связи	5	4
100	они не	3	4
101	и те	3	4
102	между собой	4	4
103	тогда когда	2	4
104	по себе	2	4
105	в ее	6	4
106	в романе	32	4
107	том что	4	4
108	конечно не	4	4
109	как в	6	4
110	только на	3	4
111	роль в	9	4
112	мы не	3	4
113	связь между	2	4
114	могут быть	5	4
115	видения и	2	4
116	слова и	2	4
117	этом романе	2	3
118	же как	2	3
119	в этих	3	3
120	его и	2	3
121	это не	6	3
122	формы и	3	3
123	в конце	9	3
124	те же	2	3
125	вследствие этого	3	3
126	для нас	2	3
127	мы и	4	3
128	лишь как	2	3
129	того что	2	3
130	имеет место	3	3
131	не о	2	3
132	в виду	3	3
133	этот процесс	5	3
134	по отношению	3	3
135	той же	2	3
136	этом отношении	3	3
137	в которых	2	3
138	и на	8	3
139	их в	3	3
140	сказать что	3	3
141	и с	4	3
142	в основе	5	3
143	и следовательно	4	3
144	романа в	5	3
145	жизни в	8	3
146	в них	4	3
147	раз и	2	3
148	исторического процесса	2	3
149	на фоне	3	3
150	ясно что	2	3
151	в условиях	7	3
152	того же	8	3
153	равно как	2	3
154	мы уже	11	3
155	во всех	6	3
156	нет и	2	3
157	оно не	2	3
158	отношению к	5	3
159	время в	6	3
160	ее в	2	3
161	в той	4	3
162	уже не	2	3
163	и эта	2	3
164	жизнь и	4	3
165	единства и	2	3
166	в себе	3	3
167	в основу	3	2
168	мы еще	3	2
169	друг другу	2	2
170	в отношении	3	2
171	характерно что	4	2
172	вообще не	3	2
173	человека и	11	2
174	была бы	2	2
175	или иной	2	2
176	всех этих	5	2
177	его от	2	2
178	смысле слова	2	2
179	очень характерно	2	2
180	xviii века	3	2
181	к другому	2	2
182	но для	2	2
183	не являются	2	2
184	в котором	4	2
185	и др	9	2
186	был бы	3	2
187	в своем	4	2
188	отношения к	3	2
189	можно только	2	2
190	но эта	3	2
191	в самой	2	2
192	у них	2	2
193	он становится	2	2
194	и даже	2	2
195	романа и	3	2
196	этого романа	4	2
197	необходимо чтобы	2	2
198	как он	2	2
199	слагаются в	2	2
200	поэтому и	3	2
201	с его	9	2
202	из нее	2	2
203	не как	2	2
204	и во	7	2
205	же что	2	2
206	к этому	3	2
207	стороны и	2	2
208	с ее	6	2
209	одна из	2	2
210	мы должны	2	2
211	в данной	2	2
212	одной из	3	2
213	в сущности	3	2
214	но оно	2	2
215	ни с	2	2
216	очень важная	2	2
217	в основном	5	2
218	на почве	2	2
219	не могло	5	2
220	что и	3	2
221	и речи	5	2
222	в отличие	2	2
223	в точном	2	2
224	человека в	17	2
225	в таком	3	2
226	если они	2	2
227	от этого	2	2
228	быть только	3	2
229	в каком	2	2
230	неотделимо от	2	2
231	ту же	2	2
232	и вне	3	2
233	связаны с	3	2
234	и это	4	2
235	дело в	2	2
236	героя и	7	2
237	здесь не	4	2
238	отличие от	2	2
239	ничего не	9	2
240	и тех	2	2
