N	2gram	Ircho_Kome_2	Hudozhes
1	в мире	2	23
2	в качестве	5	19
3	и не	14	16
4	в том	11	15
5	и в	26	15
6	не только	7	15
7	в частности	4	13
8	может быть	11	13
9	а в	3	12
10	и его	12	12
11	но не	3	11
12	в этом	10	11
13	как бы	2	10
14	отношению к	3	10
15	но и	10	10
16	так и	12	10
17	по отношению	3	10
18	то же	3	10
19	в его	4	9
20	точки зрения	4	9
21	себя в	3	8
22	с другой	2	7
23	в отличие	2	7
24	в принципе	2	7
25	в то	6	7
26	отличие от	2	7
27	но в	3	7
28	с его	5	6
29	что в	9	6
30	в ее	2	6
31	том что	9	6
32	не в	2	6
33	же время	3	6
34	отношение к	2	6
35	не может	3	6
36	в состав	2	6
37	ни в	5	5
38	только в	4	5
39	в самом	4	5
40	в нем	6	5
41	то что	6	5
42	в их	3	5
43	место в	4	4
44	а на	2	4
45	в этих	4	4
46	прежде всего	4	4
47	к тому	12	4
48	еще не	6	4
49	например в	3	4
50	хотя и	4	4
51	он не	2	4
52	в своей	3	4
53	со стороны	2	4
54	между тем	4	4
55	мы имеем	2	4
56	говорить о	2	4
57	как это	4	4
58	не менее	4	3
59	если бы	9	3
60	однако в	2	3
61	это не	2	3
62	этом смысле	2	3
63	что он	5	3
64	и к	2	3
65	к его	2	3
66	по своему	2	3
67	перед лицом	2	3
68	того же	3	3
69	со своей	3	3
70	о чем	3	3
71	к нему	3	3
72	в целом	4	3
73	так в	2	3
74	таким образом	6	3
75	как и	4	3
76	в той	2	3
77	и что	2	3
78	и для	4	3
79	не следует	2	3
80	потому что	6	3
81	и ее	2	3
82	как правило	3	3
83	его в	4	3
84	в которой	5	3
85	в виду	2	3
86	на этом	2	2
87	том числе	3	2
88	речь идет	3	2
89	так или	3	2
90	в нашем	2	2
91	тому что	4	2
92	в своем	6	2
93	в них	4	2
94	и особенно	3	2
95	в комедии	19	2
96	в одном	2	2
97	вовсе не	2	2
98	роль в	2	2
99	об этом	2	2
100	о его	4	2
101	идет о	2	2
102	одна из	2	2
103	могла бы	3	2
104	с их	4	2
105	одной стороны	2	2
106	и сам	3	2
107	мира в	4	2
108	никто не	3	2
109	во всех	3	2
110	одной из	4	2
111	не вполне	2	2
112	чем это	2	2
113	даже в	2	2
114	не является	2	2
115	как в	3	2
116	с одной	2	2
117	того чтобы	6	2
118	для того	5	2
119	из которых	3	2
120	времени в	2	2
121	или в	3	2
122	от всех	2	2
123	или иначе	3	2
124	и на	7	2
125	в силу	2	2
126	нового времени	2	2
127	у него	4	2
128	одно из	2	2
129	в этой	3	2
130	о том	6	2
131	и это	2	2
132	из этого	2	2
