N	2gram	Medvedev_F_1	OGranits
1	и в	24	13
2	и его	10	12
3	прежде всего	22	9
4	не может	16	8
5	и не	20	8
6	может быть	14	8
7	и их	10	7
8	точки зрения	16	7
9	и пр	17	7
10	в его	23	7
11	таким образом	13	6
12	не только	7	6
13	социального общения	6	6
14	то что	8	6
15	только в	2	6
16	как бы	6	6
17	художественного произведения	23	5
18	все же	3	5
19	с точки	13	5
20	метода в	6	5
21	но ведь	2	5
22	хотя бы	5	5
23	и наконец	3	5
24	в процессе	9	5
25	то же	10	4
26	в своей	11	4
27	все это	9	4
28	в каждом	3	4
29	на фоне	3	4
30	только и	4	4
31	социальной группы	4	4
32	лишь в	8	4
33	художественного общения	2	4
34	мы не	3	4
35	материала в	3	4
36	было бы	6	4
37	вполне понятно	2	4
38	но в	5	4
39	произведения как	2	4
40	отношению к	4	3
41	что в	4	3
42	никогда не	4	3
43	но и	7	3
44	материала и	3	3
45	так и	18	3
46	в их	11	3
47	по отношению	4	3
48	не как	4	3
49	и все	6	3
50	в одном	2	3
51	со всей	3	3
52	самом деле	6	3
53	в ее	8	3
54	поэтического произведения	3	3
55	как и	11	3
56	не в	8	3
57	за пределы	2	3
58	в которой	4	3
59	в пределах	6	3
60	в себе	3	3
61	в искусстве	5	3
62	с этим	2	3
63	но для	3	3
64	еще в	2	2
65	не менее	11	2
66	и др	5	2
67	каждый элемент	2	2
68	с этой	4	2
69	а как	2	2
70	в нем	14	2
71	и отчасти	3	2
72	во всей	2	2
73	в целом	6	2
74	а не	10	2
75	художественное произведение	6	2
76	думать что	3	2
77	в отношении	3	2
78	в произведении	2	2
79	с другой	5	2
80	она является	2	2
81	от всех	3	2
82	не на	2	2
83	в них	3	2
84	в связи	4	2
85	входит в	6	2
86	и должно	2	2
87	а в	6	2
88	истории литературы	12	2
89	художественных произведений	4	2
90	с одной	4	2
91	все эти	6	2
92	вовсе не	10	2
93	формальный метод	9	2
94	или иного	3	2
95	и истории	5	2
96	к тому	3	2
97	и к	4	2
98	как в	8	2
99	если бы	4	2
100	литературное произведение	10	2
101	в общем	3	2
102	в том	6	2
103	наконец в	3	2
104	так же	4	2
105	в зависимости	2	2
106	с помощью	3	2
107	в своих	2	2
108	зависимости от	3	2
109	социологический метод	5	2
110	в этом	15	2
111	от этого	2	2
112	учение о	4	2
113	между тем	2	2
114	при этом	5	2
115	чем же	2	2
116	литературной школы	2	2
117	и ее	10	2
118	для него	3	2
119	форм и	6	2
120	во всем	2	2
121	более того	3	2
122	одной стороны	4	2
123	и может	4	2
124	литературного произведения	4	2
125	в действительности	2	2
126	того или	2	2
127	общения и	2	2
128	в области	3	2
129	в самом	5	2
130	бы в	3	2
131	на язык	3	2
132	беспредметных искусств	2	2
133	в ней	10	2
134	и является	2	2
