N	3gram	Medvedev_F_3	Problema
1	тем не менее	2	12
2	во всяком случае	6	10
3	в конце концов	2	7
4	и т д	6	6
5	в этом смысле	2	5
6	в данном случае	4	5
7	то же самое	3	5
8	с другой стороны	5	5
9	в связи с	4	5
10	в то же	7	4
11	в том что	3	4
12	вовсе не является	3	3
13	только то что	2	3
14	не может быть	14	3
15	для того чтобы	4	2
16	то или иное	2	2
17	в самом деле	4	2
18	бы то ни	4	2
19	сами по себе	2	2
20	может быть только	2	2
21	не только не	2	2
22	подобно тому как	4	2
23	и в данном	2	2
24	на самом деле	12	2
25	так же и	2	2
