N	3gram	Vinokur_Vv_1	KulturaY
1	и т п	5	24
2	и т д	37	14
3	в том что	12	10
4	можно было бы	3	9
5	с точки зрения	2	8
6	для того чтобы	21	8
7	с другой стороны	5	7
8	в самом деле	5	7
9	по крайней мере	4	6
10	во всяком случае	3	5
11	само по себе	3	5
12	в этом смысле	10	5
13	тем не менее	8	5
14	и тем не	3	4
15	не только в	4	4
16	не может быть	8	4
17	в этом отношении	3	3
18	в связи с	2	3
19	на этой почве	2	3
20	большей или меньшей	2	3
21	в то же	5	3
22	то же время	5	3
23	точно так же	2	3
24	в конце концов	2	3
25	можно сказать что	3	2
26	в отличие от	3	2
27	и в самом	3	2
28	хотя бы и	2	2
29	в свое время	2	2
30	и в том	3	2
31	в соответствии с	2	2
32	широком смысле этого	2	2
33	но все же	3	2
34	вместе с тем	3	2
35	но также и	9	2
36	на этот вопрос	3	2
37	не говоря уже	2	2
38	в этом случае	6	2
39	в широком смысле	7	2
40	в данном отношении	2	2
41	только в том	2	2
42	так или иначе	4	2
43	потому что он	2	2
