N	3gram	Vygotskiy__3	Psycholo
1	на то что	3	12
2	в том что	17	11
3	для того чтобы	7	8
4	с самого начала	6	6
5	заключается в том	7	6
6	с одной стороны	5	5
7	с другой стороны	3	5
8	и в этом	2	3
9	о том что	3	3
10	мы могли бы	7	3
11	то и другое	4	3
12	мы уже говорили	5	3
13	и то что	2	3
14	смысле этого слова	4	2
15	в то время	4	2
16	в свою очередь	2	2
17	все же в	2	2
18	как мы увидим	2	2
19	только в том	2	2
20	как мы видели	3	2
21	то что в	2	2
22	и вместе с	2	2
23	вместе с тем	10	2
24	во всяком случае	4	2
25	то время как	4	2
26	мы видели что	3	2
