N	2gram	Tiupa_Narr_1	Myshleni
1	в том	8	28
2	и в	11	28
3	то что	9	28
4	в этом	12	27
5	того что	4	24
6	потому что	5	22
7	не может	8	19
8	том что	7	19
9	что он	3	18
10	только в	12	18
11	что в	3	17
12	не только	31	16
13	может быть	15	13
14	сказать что	2	13
15	точки зрения	5	13
16	в сфере	2	12
17	и не	23	11
18	как бы	6	11
19	что мы	2	11
20	к тому	6	10
21	как мы	2	10
22	но и	27	10
23	по отношению	3	10
24	но не	4	10
25	отношению к	3	10
26	того чтобы	4	10
27	между собой	2	9
28	мы можем	2	9
29	никогда не	4	8
30	в самом	6	8
31	еще не	4	8
32	тем самым	5	8
33	для того	3	8
34	если бы	7	7
35	в нем	4	7
36	в сущности	2	7
37	в своем	3	7
38	как известно	3	7
39	он не	3	7
40	вместе с	2	7
41	то же	8	7
42	между ними	2	7
43	и как	3	6
44	для него	4	6
45	не имеет	2	6
46	в то	4	6
47	же самое	2	6
48	как и	13	6
49	можно сказать	5	6
50	так и	5	6
51	как раз	6	6
52	мы не	3	6
53	в чем	2	6
54	в области	2	6
55	это не	3	5
56	в пределах	2	5
57	и тем	4	5
58	и на	5	5
59	и все	3	5
60	но в	7	5
61	в зависимости	2	5
62	то в	4	5
63	зависимости от	2	5
64	в этой	6	5
65	именно в	3	4
66	в частности	14	4
67	в нашем	3	4
68	на то	2	4
69	что на	4	4
70	не в	6	4
71	переход от	2	4
72	к жизни	2	4
73	друг друга	2	4
74	в первом	4	4
75	мы имеем	3	4
76	в сознании	4	4
77	в качестве	14	4
78	оно не	2	4
79	и того	2	4
80	в той	2	4
81	и то	3	4
82	в себе	6	4
83	зависит от	2	3
84	из этих	4	3
85	а по	2	3
86	в ходе	3	3
87	как это	3	3
88	для одного	2	3
89	до конца	2	3
90	при этом	19	3
91	хотя и	4	3
92	по мере	2	3
93	в целом	3	3
94	и только	2	3
95	этом отношении	3	3
96	во втором	6	3
97	но как	3	3
98	с его	4	3
99	и составляет	2	3
100	первом случае	3	3
101	в случае	2	3
102	по себе	4	3
103	раз в	2	3
104	связи с	2	3
105	до сих	2	3
106	иначе говоря	8	3
107	не по	4	3
108	один из	6	3
109	в его	6	3
110	сих пор	2	3
111	как в	4	3
112	а не	13	3
113	и его	10	3
114	представляет собой	8	3
115	и т.д	6	3
116	представляют собой	3	3
117	не менее	3	2
118	он сам	3	2
119	казалось бы	2	2
120	в этих	2	2
121	с другой	2	2
122	в конце	2	2
123	прежде всего	4	2
124	самом деле	3	2
125	имеем дело	2	2
126	имеет место	4	2
127	и от	2	2
128	и является	2	2
129	из них	4	2
130	где они	2	2
131	другой стороны	2	2
132	в связи	2	2
133	с ними	2	2
134	к его	2	2
135	что у	4	2
136	с ним	2	2
137	между двумя	5	2
138	состоит в	10	2
139	у него	7	2
140	в одном	4	2
141	у нас	3	2
142	по своему	2	2
143	чем он	2	2
144	идет по	2	2
145	она не	2	2
146	в своей	5	2
147	ключ к	2	2
148	еще в	3	2
149	не могло	2	2
150	все же	4	2
151	только на	2	2
152	внимание на	4	2
153	дело с	2	2
154	а в	13	2
155	только что	2	2
156	нас в	2	2
157	в данном	11	2
