N	3gram	Losev_Prob_2	VeschiIm
1	и т д	6	20
2	не может быть	3	18
3	это значит что	3	17
4	бы то ни	2	9
5	не что иное	3	8
6	что иное как	3	8
7	по крайней мере	6	6
8	на то что	4	6
9	может быть только	2	6
10	в том что	4	6
11	не есть ни	3	6
12	тем не менее	12	5
13	есть не что	3	5
14	содержит в себе	2	5
15	не есть только	4	4
16	не только в	2	4
17	в то же	4	4
18	и то что	7	4
19	не есть просто	2	4
20	ли сказать что	2	3
21	в самом деле	2	3
22	более или менее	4	3
23	можно было бы	2	3
24	само по себе	2	3
25	можно ли сказать	2	3
26	сама по себе	4	3
27	если мы возьмем	2	3
28	только то что	3	3
29	подобно тому как	2	3
30	что же такое	4	2
31	то что не	2	2
32	никуда не годится	2	2
33	можно говорить о	2	2
34	можно сказать что	3	2
35	в данном случае	5	2
36	ни от чего	2	2
37	то это значит	2	2
38	так что в	2	2
39	и в частности	3	2
40	и не просто	5	2
41	заключается в том	2	2
42	так или иначе	6	2
