N	2gram	Medvedev_F_3	PoTuStor
1	может быть	25	17
2	и в	27	16
3	и пр	15	12
4	прежде всего	4	9
5	таким образом	18	9
6	в этом	18	9
7	мы можем	4	9
8	и только	2	9
9	совершенно не	7	8
10	и его	19	8
11	и с	3	8
12	точки зрения	16	8
13	не может	24	8
14	с его	2	7
15	сказать что	3	7
16	не только	9	7
17	и это	2	6
18	с точки	14	6
19	самом деле	16	6
20	при этом	8	6
21	конечно не	4	6
22	все эти	6	5
23	ни в	8	5
24	нуждается в	3	5
25	еще не	6	5
26	как бы	8	5
27	в него	3	5
28	в нем	15	4
29	и их	5	4
30	отнюдь не	8	4
31	но и	10	4
32	так и	21	4
33	все это	7	4
34	хотя бы	6	4
35	и все	8	4
36	так как	9	4
37	и не	30	4
38	на самом	14	4
39	как мы	8	4
40	и ее	6	4
41	можно сказать	3	4
42	и даже	2	4
43	и на	3	4
44	в этой	2	4
45	художественного творчества	2	4
46	с ее	2	4
47	только в	8	4
48	его в	7	4
49	но в	6	4
50	в его	7	4
51	и теперь	6	3
52	мы знаем	4	3
53	в этих	3	3
54	что в	8	3
55	жизни и	4	3
56	во всех	3	3
57	и др	2	3
58	могут быть	4	3
59	вместе с	6	3
60	никаких оснований	3	3
61	в большинстве	4	3
62	отношения к	2	3
63	этом смысле	2	3
64	те же	3	3
65	большинстве случаев	5	3
66	учение о	2	3
67	и притом	2	3
68	в том	7	3
69	том что	4	3
70	и как	4	3
71	то что	8	3
72	их в	3	3
73	в основе	3	3
74	на этом	2	3
75	только на	4	3
76	в общем	2	3
77	но оно	2	3
78	как это	4	3
79	в области	2	3
80	во всяком	6	3
81	в основном	2	3
82	и потому	5	3
83	между ними	15	3
84	всяком случае	6	3
85	не менее	7	2
86	ее в	3	2
87	нет и	3	2
88	поэтому и	2	2
89	может иметь	2	2
90	и лишь	2	2
91	не могут	10	2
92	что и	2	2
93	не нуждается	3	2
94	не есть	4	2
95	ни было	5	2
96	же как	3	2
97	сознания и	2	2
98	как не	2	2
99	никогда не	5	2
100	между собой	4	2
101	для этого	2	2
102	в них	3	2
103	если мы	7	2
104	того же	3	2
105	вообще не	2	2
106	оно не	3	2
107	из этих	2	2
108	и содержание	2	2
109	в жизни	11	2
110	то же	15	2
111	к этому	2	2
112	субъективного сознания	4	2
113	нет никаких	2	2
114	с помощью	8	2
115	сводится к	5	2
116	что он	6	2
117	мы не	4	2
118	и для	6	2
119	нам кажется	2	2
120	войти в	5	2
121	для нас	3	2
122	как и	14	2
123	они не	4	2
124	так же	9	2
125	но это	2	2
126	за счет	2	2
127	мы уже	3	2
128	совсем не	5	2
129	не на	3	2
130	знаем что	2	2
131	а на	2	2
132	в каком	2	2
133	всех других	3	2
134	не можем	2	2
135	говорить о	2	2
136	на протяжении	2	2
137	в пределах	8	2
138	ту же	2	2
139	было бы	6	2
140	что это	3	2
141	кажется что	2	2
142	но ведь	4	2
143	о том	4	2
144	в самом	11	2
145	за пределы	2	2
146	в своей	6	2
147	только то	3	2
148	и действительно	2	2
