N	2gram	Ircho_Kome_3	slovoVRo
1	и в	22	41
2	в нем	3	30
3	и т	4	28
4	т п	4	23
5	во всех	2	17
6	но и	4	16
7	и не	21	16
8	точки зрения	4	16
9	не только	5	16
10	а не	4	15
11	то же	7	14
12	в пределах	2	14
13	может быть	6	14
14	не может	3	14
15	и его	6	14
16	и на	2	14
17	в то	6	14
18	в сущности	2	13
19	в его	8	13
20	же время	5	12
21	до конца	4	12
22	как бы	3	12
23	в этом	8	12
24	так и	4	11
25	таким образом	12	9
26	прежде всего	5	8
27	на его	2	8
28	но в	5	8
29	как в	2	8
30	как мы	2	8
31	с точки	3	8
32	не в	4	7
33	отношение к	5	7
34	с ним	5	7
35	вовсе не	4	7
36	в своей	5	7
37	все же	4	7
38	во всяком	3	7
39	в отношении	4	6
40	того же	6	6
41	это не	2	6
42	при этом	7	6
43	и даже	3	6
44	а в	7	6
45	в них	3	6
46	к своему	2	6
47	с другой	4	5
48	в самом	9	5
49	всяком случае	3	5
50	все это	5	5
51	в основе	2	5
52	и к	3	5
53	к нему	5	5
54	с другими	2	5
55	далеко не	3	5
56	одной стороны	3	4
57	одним из	2	4
58	в ней	4	4
59	известной степени	2	4
60	один из	3	4
61	в их	2	4
62	за пределы	2	4
63	с одной	3	4
64	и с	4	4
65	в которой	3	4
66	и все	2	4
67	с его	3	4
68	не как	2	4
69	как и	3	4
70	еще не	6	4
71	другой стороны	2	4
72	и для	4	4
73	ничего не	3	4
74	не могут	2	3
75	все время	2	3
76	никогда не	3	3
77	хотя бы	4	3
78	к тому	6	3
79	в том	12	3
80	и сам	5	3
81	в свою	7	3
82	из них	5	3
83	в своем	8	3
84	друг друга	4	3
85	в других	3	3
86	в результате	2	3
87	и здесь	4	3
88	не было	2	3
89	о том	8	3
90	его в	8	3
91	так как	11	3
92	у него	4	3
93	и во	2	3
94	с этим	3	3
95	в себе	4	3
96	с этой	3	3
97	по существу	2	3
98	в качестве	2	3
99	она не	2	3
100	было бы	3	3
101	одной из	3	3
102	конечно не	3	3
103	он не	5	3
104	в свое	2	3
105	из этого	2	3
106	при всем	2	3
107	и этим	3	3
108	и ее	2	3
109	свою очередь	6	2
110	в частности	3	2
111	тому что	2	2
112	столь же	3	2
113	одного из	3	2
114	для понимания	2	2
115	этом случае	2	2
116	ни было	2	2
117	в известной	2	2
118	так что	6	2
119	ему не	3	2
120	что они	2	2
121	на которые	3	2
122	для того	6	2
123	хотя и	5	2
124	между ними	2	2
125	был бы	2	2
126	в целом	3	2
127	различных жанров	2	2
128	не могла	3	2
129	так же	4	2
130	время как	2	2
131	потому что	10	2
132	между тем	2	2
133	не является	4	2
134	за пределами	2	2
135	а как	2	2
136	нисколько не	3	2
137	в котором	2	2
138	между собой	4	2
139	обстоит дело	2	2
140	дело не	2	2
141	в одном	2	2
142	к этому	6	2
143	том что	13	2
144	не с	2	2
145	по своему	3	2
146	а на	2	2
147	то время	2	2
148	до сих	9	2
149	совершенно не	2	2
150	и о	2	2
151	а также	2	2
152	сих пор	9	2
153	в ее	3	2
154	и речи	4	2
155	как раз	6	2
156	если мы	2	2
157	себя от	2	2
158	роль в	2	2
159	мы не	2	2
160	можно было	2	2
161	в другом	2	2
162	связи с	5	2
163	здесь не	2	2
