N	2gram	Bakhtin_sl_1	TeoriaLi
1	не только	16	18
2	в качестве	3	17
3	и не	16	16
4	а в	6	14
5	в частности	2	13
6	и в	41	13
7	может быть	14	12
8	так и	11	12
9	то есть	26	12
10	при этом	6	11
11	в этом	12	11
12	в том	3	11
13	но не	2	10
14	а не	15	10
15	и его	14	10
16	в его	13	9
17	то же	14	9
18	такого рода	2	8
19	но и	16	8
20	себя в	9	7
21	в себе	3	7
22	том что	2	7
23	в данном	3	7
24	точки зрения	16	7
25	в то	14	7
26	только в	6	7
27	с его	4	6
28	же время	12	6
29	еще не	4	6
30	лишь в	4	6
31	как бы	12	6
32	но в	8	6
33	и одновременно	2	5
34	в своем	3	5
35	или иного	2	5
36	или иной	9	5
37	а также	2	5
38	в ее	2	5
39	как и	4	5
40	не в	7	5
41	в пределах	14	5
42	между ними	2	5
43	в самом	5	5
44	того или	2	5
45	в нем	30	5
46	данном случае	3	5
47	как в	8	5
48	он не	3	5
49	уже не	2	5
50	с другой	5	5
51	между тем	2	5
52	в свою	3	4
53	можно сказать	2	4
54	более или	3	4
55	не предполагает	2	4
56	за пределами	2	4
57	в своей	7	4
58	отношение к	7	4
59	по преимуществу	4	4
60	или менее	3	4
61	в их	4	4
62	не может	14	4
63	в слове	7	4
64	сказать что	2	4
65	хотя и	2	4
66	но он	2	4
67	и ее	3	4
68	слова в	8	3
69	перед нами	4	3
70	и др	14	3
71	никогда не	3	3
72	в этих	2	3
73	в отношении	6	3
74	прежде всего	8	3
75	и к	5	3
76	свою очередь	2	3
77	по своему	2	3
78	для него	3	3
79	того что	3	3
80	и сам	3	3
81	например в	2	3
82	той или	9	3
83	и потому	4	3
84	на почве	4	3
85	с ее	4	3
86	другой стороны	4	3
87	как раз	2	3
88	так в	2	3
89	входит в	4	3
90	таким образом	9	3
91	а с	2	3
92	именно в	3	3
93	в другом	2	3
94	и по	2	3
95	или в	8	3
96	и то	2	3
97	потому что	2	3
98	в основе	5	3
99	отношении к	6	3
100	его в	3	3
101	все эти	9	3
102	могут быть	19	2
103	за пределы	4	2
104	между собой	2	2
105	того же	6	2
106	это не	6	2
107	на фоне	7	2
108	вовсе не	7	2
109	к тому	3	2
110	автором и	2	2
111	данный момент	4	2
112	что они	2	2
113	одной стороны	4	2
114	а на	2	2
115	в большинстве	10	2
116	одно и	2	2
117	одной из	3	2
118	слова как	6	2
119	даже в	2	2
120	не могло	3	2
121	и тем	2	2
122	не с	2	2
123	к нему	5	2
124	зрения и	2	2
125	в целом	2	2
126	во всех	17	2
127	дело не	2	2
128	не на	5	2
129	здесь не	2	2
130	как к	2	2
131	в романе	21	2
132	и для	4	2
133	с одной	4	2
134	в той	10	2
135	и о	2	2
136	с точки	8	2
137	и даже	6	2
138	и иных	2	2
139	высказывания и	2	2
140	так же	2	2
141	роль в	2	2
142	высказывания не	2	2
143	композиционная форма	2	2
144	автора и	4	2
145	у него	3	2
146	в сочетании	2	2
147	вокруг него	2	2
148	с языком	2	2
149	и здесь	3	2
150	о том	3	2
151	жизни но	2	2
152	в которой	4	2
