N	2gram	Ircho_Kome_1	slovoVRo
1	и в	22	41
2	в нем	4	30
3	и т	9	28
4	т п	5	23
5	могут быть	3	19
6	но и	11	16
7	и не	8	16
8	точки зрения	4	16
9	не только	10	16
10	то же	6	14
11	может быть	9	14
12	не может	2	14
13	и его	8	14
14	и на	3	14
15	в то	10	14
16	в сущности	2	13
17	в его	5	13
18	же время	4	12
19	до конца	2	12
20	в этом	3	12
21	так и	5	11
22	таким образом	8	9
23	прежде всего	5	8
24	на его	5	8
25	но в	4	8
26	как в	5	8
27	как мы	4	8
28	или в	2	8
29	не в	6	7
30	отношение к	3	7
31	вовсе не	2	7
32	все же	3	7
33	во всяком	2	7
34	в отношении	6	6
35	того же	2	6
36	при этом	5	6
37	и даже	5	6
38	а в	6	6
39	в них	3	6
40	только в	3	6
41	с другой	5	5
42	и мир	2	5
43	со своим	5	5
44	в самом	2	5
45	всяком случае	2	5
46	все это	5	5
47	т д	4	5
48	точек зрения	2	5
49	к нему	2	5
50	одной стороны	3	4
51	один из	5	4
52	с ее	2	4
53	в их	4	4
54	за пределы	2	4
55	с одной	3	4
56	и формы	2	4
57	и с	3	4
58	в которой	6	4
59	и все	3	4
60	как и	9	4
61	здесь в	3	4
62	еще не	2	4
63	другой стороны	5	4
64	ту же	2	4
65	ничего не	3	4
66	на всю	3	3
67	к тому	6	3
68	мы найдем	2	3
69	в том	11	3
70	и сам	3	3
71	в свою	2	3
72	из них	10	3
73	именно в	4	3
74	и других	7	3
75	в других	2	3
76	в результате	4	3
77	образом в	2	3
78	и здесь	2	3
79	в истории	5	3
80	о том	8	3
81	его в	3	3
82	так как	4	3
83	у него	3	3
84	и во	2	3
85	связанные с	2	3
86	в себе	2	3
87	в качестве	4	3
88	было бы	2	3
89	одной из	3	3
90	он не	3	3
91	при всем	2	3
92	или менее	2	3
93	почти всегда	2	3
94	и ее	3	3
95	же как	3	2
96	время и	2	2
97	в частности	3	2
98	и одновременно	3	2
99	столь же	2	2
100	одного из	6	2
101	на все	2	2
102	ни было	2	2
103	что они	4	2
104	на которые	2	2
105	на этом	2	2
106	такого рода	6	2
107	хотя и	3	2
108	и по	6	2
109	и тем	2	2
110	в целом	3	2
111	так же	3	2
112	время как	4	2
113	потому что	5	2
114	но он	2	2
115	между тем	5	2
116	в сознании	3	2
117	в известном	2	2
118	в котором	4	2
119	одному из	2	2
120	для них	2	2
121	в одном	8	2
122	к этому	4	2
123	у нас	3	2
124	том что	12	2
125	одна из	2	2
126	но не	2	2
127	по своему	3	2
128	то время	5	2
129	до сих	2	2
130	и о	3	2
131	а также	4	2
132	даже в	3	2
133	сих пор	2	2
134	как раз	3	2
135	так в	4	2
136	и у	3	2
137	мы не	3	2
138	нас в	2	2
139	в виде	3	2
140	в другом	4	2
141	на протяжении	4	2
142	или вовсе	3	2
