N	2gram	Vinokur_Vv_1	PoTuStor
1	может быть	24	17
2	и в	27	16
3	прежде всего	8	9
4	таким образом	19	9
5	в этом	34	9
6	мы можем	2	9
7	и его	5	8
8	и с	2	8
9	точки зрения	7	8
10	не может	13	8
11	сказать что	5	7
12	не только	21	7
13	и это	6	6
14	с точки	2	6
15	самом деле	6	6
16	при этом	3	6
17	отношение к	3	5
18	все эти	3	5
19	что такое	10	5
20	в чем	4	5
21	нуждается в	2	5
22	еще не	4	5
23	как бы	5	5
24	в нем	13	4
25	но и	5	4
26	все это	6	4
27	хотя бы	5	4
28	мысли и	2	4
29	так как	13	4
30	и не	13	4
31	а потому	3	4
32	как мы	9	4
33	и ее	4	4
34	можно сказать	3	4
35	и даже	5	4
36	и на	3	4
37	в этой	3	4
38	только в	13	4
39	его в	6	4
40	но в	10	4
41	в его	10	4
42	на этой	3	3
43	в этих	3	3
44	по сравнению	3	3
45	что в	11	3
46	жизни и	2	3
47	и есть	3	3
48	во всех	2	3
49	и др	2	3
50	могут быть	4	3
51	вместе с	6	3
52	сих пор	5	3
53	сравнению с	3	3
54	в одном	4	3
55	этом смысле	11	3
56	и вот	3	3
57	учение о	2	3
58	крайней мере	4	3
59	в том	31	3
60	а в	5	3
61	том что	26	3
62	и как	9	3
63	с их	5	3
64	то что	17	3
65	на этом	3	3
66	по крайней	4	3
67	только как	6	3
68	только на	3	3
69	в общем	12	3
70	как это	5	3
71	в области	4	3
72	во всяком	3	3
73	до сих	5	3
74	между ними	2	3
75	всяком случае	3	3
76	не существует	2	2
77	не менее	8	2
78	это делает	2	2
79	с историей	3	2
80	один из	6	2
81	не могут	5	2
82	что и	3	2
83	не есть	4	2
84	же как	3	2
85	в частности	3	2
86	никогда не	3	2
87	что не	5	2
88	для этого	3	2
89	в них	4	2
90	того же	3	2
91	вообще не	3	2
92	с этой	4	2
93	из этих	5	2
94	с этим	2	2
95	в свое	2	2
96	то же	8	2
97	что оно	2	2
98	к этому	3	2
99	и других	3	2
100	что он	4	2
101	мы не	2	2
102	что мы	2	2
103	но зато	2	2
104	и для	4	2
105	в этот	2	2
106	момента в	2	2
107	как и	5	2
108	так же	3	2
109	совсем не	3	2
110	по своему	5	2
111	есть и	4	2
112	что можно	2	2
113	нашего времени	2	2
114	говорить о	3	2
115	в начале	3	2
116	на протяжении	2	2
117	и вообще	3	2
118	было бы	5	2
119	что это	3	2
120	но ведь	4	2
121	о том	15	2
122	в самом	12	2
123	но как	2	2
124	в своей	4	2
