N	2gram	Vygotskiy__2	Tragedij
1	и в	32	18
2	в романе	2	10
3	в этом	13	9
4	не только	12	8
5	и не	10	7
6	и на	5	7
7	и с	4	7
8	может быть	18	7
9	как бы	6	7
10	что он	13	6
11	и его	7	6
12	же время	2	6
13	но в	3	6
14	все же	4	5
15	что это	8	5
16	так и	3	5
17	это не	2	5
18	не может	17	5
19	то же	13	5
20	а я	2	5
21	как и	10	5
22	в то	5	5
23	несмотря на	4	5
24	это очень	2	5
25	но и	10	4
26	то что	21	4
27	в целом	4	4
28	что в	20	4
29	все это	5	4
30	и все	4	4
31	в нем	4	4
32	и даже	5	4
33	так же	18	4
34	том что	21	4
35	но это	2	4
36	в этой	6	4
37	и что	22	4
38	в себе	2	4
39	еще не	2	4
40	об этом	3	4
41	один из	3	3
42	с ее	3	3
43	отнюдь не	5	3
44	к людям	2	3
45	в конце	3	3
46	как в	9	3
47	все эти	7	3
48	жизнь и	3	3
49	и он	3	3
50	и как	7	3
51	к нему	2	3
52	в его	2	3
53	что с	3	3
54	при этом	13	3
55	и сам	4	3
56	как будто	7	3
57	как это	4	3
58	то есть	21	3
59	из самых	2	2
60	не имеет	4	2
61	и до	4	2
62	не могут	3	2
63	что и	17	2
64	как говорит	3	2
65	в частности	3	2
66	состоит из	2	2
67	данном случае	4	2
68	что все	9	2
69	но эта	2	2
70	бы и	3	2
71	с его	2	2
72	отношение к	2	2
73	говорит что	7	2
74	к тому	7	2
75	столь же	4	2
76	не так	2	2
77	и здесь	2	2
78	ни в	2	2
79	в ее	2	2
80	в том	37	2
81	до конца	3	2
82	говорит о	2	2
83	отличие от	2	2
84	так что	3	2
85	в таком	2	2
86	не в	8	2
87	что этот	2	2
88	точно так	3	2
89	в данном	4	2
90	и то	3	2
91	в русском	2	2
92	потому что	21	2
93	с тем	11	2
94	тем что	9	2
95	в глаза	2	2
96	и ее	3	2
97	к области	3	2
98	о том	6	2
99	впечатление что	2	2
100	и это	4	2
101	в самом	12	2
102	во сне	2	2
103	ничего не	4	2
104	он не	6	2
105	в одном	2	2
106	что она	16	2
107	никогда не	9	2
