N	2gram	Berdyaev_M_1	Komedia
1	и в	28	26
2	и не	11	14
3	к тому	3	12
4	и его	9	12
5	в том	6	11
6	может быть	30	11
7	но и	25	10
8	на протяжении	2	10
9	в этом	20	10
10	что в	10	9
11	том что	3	9
12	если бы	2	9
13	вместе с	6	9
14	было бы	10	8
15	и на	6	7
16	не только	29	7
17	что и	4	7
18	в своем	10	6
19	то что	5	6
20	в нем	13	6
21	того чтобы	2	6
22	потому что	16	6
23	в то	2	6
24	о том	2	6
25	с его	3	5
26	с тем	9	5
27	в которой	6	5
28	к этому	2	5
29	что он	10	5
30	один из	4	5
31	в истории	2	5
32	с этим	3	5
33	для того	2	5
34	и с	3	5
35	место в	2	4
36	уже в	4	4
37	у него	17	4
38	в этих	4	4
39	в них	4	4
40	и от	2	4
41	прежде всего	10	4
42	как и	5	4
43	как будто	2	4
44	с их	2	4
45	в его	9	4
46	еще в	2	4
47	все же	2	4
48	в самом	11	4
49	в середине	4	4
50	и для	2	4
51	точки зрения	4	4
52	в начале	2	4
53	только в	6	4
54	так как	3	4
55	на этот	2	4
56	его в	3	4
57	о чем	2	3
58	с этой	4	3
59	вопрос о	2	3
60	то время	2	3
61	но если	3	3
62	жизни и	2	3
63	отношению к	2	3
64	к концу	4	3
65	но не	8	3
66	для нас	3	3
67	никто не	2	3
68	интерес к	3	3
69	в ней	15	3
70	в котором	8	3
71	не имеет	3	3
72	себя в	3	3
73	в своей	15	3
74	и их	3	3
75	в их	4	3
76	все это	6	3
77	по отношению	2	3
78	не было	18	3
79	как в	2	3
80	в самой	7	3
81	к нему	7	3
82	а в	4	3
83	человека в	13	3
84	тем что	4	3
85	не может	28	3
86	как он	2	3
87	насилие над	2	3
88	в этой	6	3
89	но в	7	3
90	за собой	2	2
91	из самых	8	2
92	и есть	14	2
93	это не	5	2
94	в конце	7	2
95	с собой	3	2
96	и я	5	2
97	и жизнь	2	2
98	нет и	5	2
99	и к	2	2
100	он был	14	2
101	в ее	3	2
102	не в	16	2
103	до сих	2	2
104	чем в	2	2
105	на этом	3	2
106	по своему	2	2
107	одним из	2	2
108	он не	24	2
109	начинает с	2	2
110	как бы	2	2
111	же можно	2	2
112	время как	2	2
113	хотя бы	3	2
114	и это	12	2
115	в мире	10	2
116	отношение к	4	2
117	сих пор	2	2
118	всего в	2	2
119	нем не	2	2
120	бог и	7	2
121	в той	2	2
122	и что	2	2
123	и у	2	2
124	бы и	3	2
125	на пути	4	2
126	в любви	4	2
127	от этого	2	2
128	и во	2	2
129	одно из	3	2
130	и еще	3	2
131	и все	10	2
132	бы в	2	2
133	человеку и	2	2
134	в виду	2	2
