N	2gram	Medvedev_S_1	Problema
1	то что	2	42
2	и в	3	32
3	в этом	5	19
4	не только	3	17
5	как бы	2	14
6	может быть	2	14
7	что в	2	12
8	том что	2	12
9	то же	2	10
10	в том	5	9
11	но и	2	9
12	и что	2	9
13	еще не	2	9
14	было бы	2	8
15	все это	7	7
16	только в	2	7
17	в конце	2	6
18	таким образом	2	6
19	за пределы	2	6
20	в его	3	6
21	для нас	3	5
22	тем более	2	5
23	далеко не	2	5
24	не в	3	4
25	и только	3	4
26	конце концов	2	4
27	литературы и	2	4
28	как же	3	3
29	но ведь	3	3
30	как будто	2	3
31	в результате	2	2
32	и заключается	2	2
33	по существу	2	2
34	ведь это	2	2
