N	2gram	Bakhtin_Pr_2	Komedia
1	и в	43	22
2	т е	26	13
3	том что	2	12
4	в том	6	11
5	но и	14	11
6	не только	11	10
7	из них	2	10
8	в то	7	10
9	как и	14	9
10	и т	13	9
11	может быть	23	9
12	в одном	12	8
13	таким образом	5	8
14	и не	29	8
15	и его	8	8
16	о том	5	8
17	что в	4	6
18	в отношении	3	6
19	в конце	2	6
20	что он	13	6
21	к тому	4	6
22	ни в	2	6
23	тому же	3	6
24	то же	8	6
25	не в	11	6
26	а в	5	6
27	уже в	2	5
28	с другой	4	5
29	во время	4	5
30	прежде всего	10	5
31	при этом	6	5
32	в его	10	5
33	так и	3	5
34	как в	2	5
35	все это	5	5
36	другой стороны	3	5
37	то время	2	5
38	и даже	3	5
39	т п	9	5
40	между тем	3	5
41	в их	3	4
42	как мы	10	4
43	в другом	7	4
44	же время	5	4
45	в котором	6	4
46	и особенно	2	4
47	в нем	12	4
48	что и	3	4
49	на него	3	4
50	т д	4	4
51	тем что	3	4
52	время как	2	4
53	в результате	4	4
54	точки зрения	13	4
55	известно что	2	4
56	из его	2	4
57	конце концов	2	4
58	так как	4	4
59	но в	10	4
60	мы можем	2	4
61	не менее	3	3
62	в них	4	3
63	в образе	2	3
64	вопрос о	2	3
65	на то	5	3
66	у нас	2	3
67	и как	2	3
68	по своему	2	3
69	здесь в	3	3
70	тот же	3	3
71	и сам	7	3
72	и о	2	3
73	у него	6	3
74	да и	5	3
75	хотя и	5	3
76	он не	9	3
77	даже в	3	3
78	все же	3	3
79	отношению к	5	3
80	в целом	2	3
81	отношение к	2	3
82	так же	2	3
83	по отношению	5	3
84	того как	2	3
85	здесь мы	2	3
86	мы не	4	3
87	как раз	4	3
88	каждый из	2	3
89	его творчества	2	3
90	и на	10	3
91	в этом	13	3
92	и с	5	3
93	в виде	3	3
94	могут быть	3	3
95	и ее	3	3
96	и еще	2	3
97	только в	4	3
98	и все	6	3
99	его в	3	3
100	ничего не	3	3
101	времени и	2	2
102	и здесь	3	2
103	ни было	2	2
104	за пределы	3	2
105	и без	2	2
106	вовсе не	5	2
107	указывает на	2	2
108	от них	2	2
109	точек зрения	4	2
110	тем не	2	2
111	он был	3	2
112	слова о	2	2
113	такой же	3	2
114	одна из	2	2
115	но не	5	2
116	а то	2	2
117	того же	3	2
118	в себя	3	2
119	до конца	4	2
120	до сих	7	2
121	еще не	9	2
122	было бы	5	2
123	в самом	7	2
124	которую он	2	2
125	для себя	2	2
126	то что	7	2
127	в первой	2	2
128	ее в	2	2
129	или менее	3	2
130	всего этого	2	2
131	то и	2	2
132	для этого	2	2
133	в сущности	9	2
134	не может	18	2
135	что у	2	2
136	в форме	2	2
137	к нему	5	2
138	почти всегда	2	2
139	или в	8	2
140	почти не	2	2
141	но это	4	2
142	во всяком	2	2
143	но он	4	2
144	на себя	2	2
145	в своих	2	2
146	в себе	5	2
147	ту же	2	2
148	отличие от	4	2
149	сих пор	7	2
