N	2gram	Medvedev_S_1	Psycholo
1	то что	2	37
2	и в	3	30
3	в том	5	27
4	что в	2	24
5	и что	2	23
6	том что	2	21
7	таким образом	2	20
8	как бы	2	19
9	и мы	2	16
10	не только	3	16
11	в этом	5	14
12	может быть	2	11
13	не в	3	8
14	то же	2	7
15	но и	2	6
16	как будто	2	6
17	еще не	2	5
18	было бы	2	5
19	только в	2	5
20	как только	2	4
21	в результате	2	4
22	в частности	2	4
23	и заключается	2	4
24	в его	3	4
25	в конце	2	4
26	для нас	3	3
27	и только	3	3
28	по существу	2	2
29	очевидно что	2	2
30	должна быть	2	2
31	все это	7	2
32	по отношению	2	2
33	это и	2	2
34	конце концов	2	2
