N	3gram	Losev_Prob_1	StatiiOP
1	и т д	10	21
2	в том что	5	17
3	о том что	5	11
4	для того чтобы	8	10
5	можно было бы	2	8
6	с точки зрения	3	8
7	до сих пор	3	7
8	в данном случае	8	6
9	на самом деле	4	6
10	с другой стороны	3	6
11	во всяком случае	3	6
12	в самом деле	2	5
13	не может быть	2	5
14	в этой области	2	5
15	в то же	4	4
16	того или иного	2	4
17	дело в том	3	4
18	на то что	8	4
19	и в самом	2	3
20	так же как	2	3
21	что же касается	3	3
22	и в этом	2	3
23	ничего общего с	7	3
24	т д и	4	2
25	не имеет ничего	2	2
26	а также и	2	2
27	по этому поводу	3	2
28	на этот раз	2	2
29	тем что в	2	2
30	тем не менее	18	2
31	в этом случае	2	2
32	по крайней мере	2	2
33	может быть и	3	2
34	то что в	3	2
35	и то что	2	2
36	имеет ничего общего	2	2
37	так или иначе	2	2
38	что в нем	3	2
