N	2gram	Tiupa_Lite_2	FransuaR
1	и в	19	40
2	то есть	5	18
3	и его	3	17
4	прежде всего	4	16
5	в этом	9	15
6	не только	8	13
7	и не	11	13
8	в его	4	13
9	что в	4	12
10	вовсе не	2	12
11	как и	10	11
12	но и	10	11
13	и т.п	10	10
14	в них	2	9
15	в сущности	3	9
16	может быть	17	9
17	он не	5	9
18	в том	10	8
19	и до	2	8
20	у него	2	8
21	и с	3	8
22	той же	2	8
23	и на	6	8
24	но в	2	8
25	в одном	2	7
26	и др	3	7
27	то же	12	7
28	он и	2	7
29	в виду	2	7
30	же время	9	6
31	в образах	2	6
32	во всех	3	6
33	и других	4	6
34	в то	9	6
35	до конца	2	6
36	в году	5	5
37	как раз	2	5
38	в нем	3	5
39	то что	7	5
40	не было	2	5
41	а не	20	5
42	и для	3	5
43	в основе	2	5
44	в своих	2	5
45	для него	4	5
46	в нашем	2	4
47	у нас	5	4
48	том что	7	4
49	было бы	2	4
50	в ней	4	4
51	из них	2	4
52	а также	2	4
53	даже в	4	4
54	один из	4	4
55	в мире	9	4
56	в культуре	3	4
57	жизни и	4	4
58	в их	3	4
59	так в	5	4
60	о том	2	4
61	в данном	3	4
62	и даже	8	4
63	не видит	2	4
64	в истории	2	4
65	так как	3	4
66	в области	4	4
67	том числе	2	3
68	в частности	4	3
69	и к	2	3
70	в ее	2	3
71	но это	3	3
72	в начале	3	3
73	в этой	3	3
74	для этого	2	3
75	одна из	5	3
76	еще не	2	3
77	такого рода	9	3
78	вплоть до	3	3
79	как бы	2	3
80	еще в	4	3
81	и наконец	2	3
82	что и	2	3
83	вместе с	5	3
84	так и	7	3
85	по отношению	4	3
86	не может	9	3
87	а в	3	3
88	для того	2	3
89	к этой	2	3
90	и как	3	3
91	не так	2	3
92	тем что	4	3
93	при этом	6	3
94	одно из	2	3
95	в себе	6	3
96	в другом	3	3
97	в конце	2	3
98	не менее	6	2
99	уже в	2	2
100	в веках	2	2
101	хотя бы	2	2
102	с другой	8	2
103	что было	2	2
104	что он	3	2
105	все же	2	2
106	на этом	2	2
107	но не	5	2
108	все что	2	2
109	и сам	2	2
110	по преимуществу	2	2
111	свидетельствует о	2	2
112	одним из	3	2
113	к жизни	2	2
114	слова и	7	2
115	отношению к	3	2
116	в целом	2	2
117	не к	2	2
118	своего рода	13	2
119	данном случае	3	2
120	не раз	2	2
121	этом отношении	3	2
122	тем же	3	2
123	потому что	2	2
124	одной из	2	2
125	даже и	2	2
126	точки зрения	4	2
127	ко всему	2	2
128	и еще	2	2
129	но как	2	2
130	как он	2	2
131	одном из	2	2
132	того же	4	2
133	мы не	4	2
