N	2gram	Tiupa_Lite_1	Istorich
1	и в	8	26
2	никогда не	4	13
3	потому что	3	13
4	что в	3	12
5	таким образом	3	12
6	в том	16	12
7	в этом	12	12
8	может быть	13	11
9	с другой	3	10
10	том что	14	10
11	и не	12	10
12	не только	24	10
13	что он	5	9
14	еще не	4	9
15	но и	17	9
16	в нем	2	8
17	все же	4	8
18	на том	2	8
19	все эти	2	8
20	превращается в	2	7
21	уже не	7	7
22	с одной	2	7
23	одной стороны	2	7
24	например в	3	7
25	и его	4	7
26	у него	3	7
27	о том	2	7
28	но в	3	7
29	то что	10	6
30	как в	5	6
31	не может	5	6
32	в русской	10	6
33	как он	2	6
34	как и	6	5
35	в его	7	5
36	то это	2	5
37	так и	4	5
38	то же	5	5
39	как это	8	5
40	тем что	2	5
41	в то	5	5
42	только в	8	5
43	его в	3	5
44	это не	4	4
45	из этих	2	4
46	прежде всего	11	4
47	с его	5	4
48	как бы	7	4
49	и тем	4	4
50	а также	5	4
51	одну из	2	4
52	себе в	2	4
53	в частности	15	3
54	могут быть	2	3
55	должна быть	2	3
56	не в	8	3
57	в качестве	17	3
58	еще в	4	3
59	один из	3	3
60	в своей	4	3
61	данном случае	4	3
62	со стороны	4	3
63	а в	3	3
64	при этом	19	3
65	имеется в	2	3
66	в своих	4	3
67	в данном	5	3
68	и то	2	3
69	та же	2	3
70	и только	2	3
71	в себе	7	3
72	не было	3	3
73	как будто	2	3
74	далеко не	3	3
75	с этой	5	2
76	обращается к	2	2
77	однако в	2	2
78	с собой	4	2
79	в своем	11	2
80	того же	2	2
81	к тому	2	2
82	сводится к	3	2
83	по отношению	3	2
84	одна из	3	2
85	но не	4	2
86	только то	2	2
87	было бы	2	2
88	и сам	6	2
89	относится к	2	2
90	всяком случае	2	2
91	и др	3	2
92	даже в	2	2
93	не могло	2	2
94	не есть	2	2
95	отношению к	2	2
96	жизни и	3	2
97	своего рода	11	2
98	то и	2	2
99	тогда как	13	2
100	могло быть	2	2
101	тем самым	5	2
102	а не	16	2
103	того что	6	2
104	что не	2	2
105	можно было	2	2
106	во всяком	3	2
107	он и	3	2
108	к себе	3	2
109	представляет собой	4	2
110	из его	2	2
111	самого себя	3	2
112	ту же	2	2
113	в этой	4	2
114	то он	2	2
115	но при	2	2
