N	2gram	Bakhtin_fo_1	Dialekti
1	и не	14	30
2	а не	3	18
3	может быть	11	17
4	и т	8	17
5	ничего не	9	17
6	то что	6	16
7	и в	50	15
8	как бы	2	14
9	не имеет	4	14
10	так как	6	14
11	точки зрения	5	14
12	того что	2	13
13	по себе	2	13
14	это не	6	12
15	прежде всего	15	11
16	в том	9	11
17	не может	6	11
18	ясно что	2	11
19	и все	6	11
20	в этом	25	11
21	с ее	6	10
22	в основе	5	10
23	личности и	2	10
24	потому что	4	10
25	том что	4	10
26	было бы	2	9
27	в виду	3	9
28	все это	4	9
29	мы не	3	9
30	то же	11	9
31	уже не	2	9
32	с точки	2	9
33	ни в	8	8
34	не в	5	8
35	в себе	3	8
36	не только	9	8
37	в чем	2	8
38	и ее	3	8
39	и это	4	8
40	что в	5	7
41	что мы	2	7
42	как и	8	7
43	и его	16	7
44	или в	3	7
45	и вообще	2	7
46	только в	4	7
47	же время	9	6
48	хотя и	3	6
49	и даже	2	6
50	в результате	6	6
51	сказать что	3	6
52	вовсе не	13	6
53	если бы	5	6
54	в то	9	6
55	что и	3	6
56	нет ничего	4	6
57	так и	12	5
58	в своем	4	5
59	того чтобы	5	5
60	в ней	4	5
61	в нем	24	5
62	таким образом	11	5
63	именно в	3	5
64	и на	8	5
65	с его	9	5
66	тогда когда	2	5
67	в жизни	6	5
68	есть не	3	5
69	в сущности	3	5
70	если мы	2	5
71	для того	5	5
72	и для	4	5
73	той же	2	5
74	в каком	2	5
75	оказывается что	2	4
76	мир и	2	4
77	что все	2	4
78	и как	10	4
79	есть в	2	4
80	один из	3	4
81	и уже	3	4
82	жизни и	8	4
83	ни с	2	4
84	но и	8	4
85	в особенности	9	4
86	так же	6	4
87	или не	2	4
88	также и	2	4
89	и с	4	4
90	не о	2	4
91	той или	2	4
92	мы должны	2	4
93	лишь как	2	4
94	в одном	3	4
95	с тем	3	4
96	отнюдь не	5	4
97	не как	2	4
98	мы видим	3	4
99	с их	2	4
100	еще не	5	4
101	как раз	13	4
102	в течение	2	4
103	хотя бы	2	4
104	в его	13	4
105	и нет	2	3
106	в свою	2	3
107	для всех	2	3
108	и следовательно	4	3
109	себя и	3	3
110	совершенно не	2	3
111	к жизни	2	3
112	в их	6	3
113	отношения к	3	3
114	все эти	9	3
115	можно только	2	3
116	есть только	2	3
117	с этим	6	3
118	в истории	2	3
119	с ним	2	3
120	но в	10	3
121	от этого	2	3
122	можно назвать	2	3
123	к этому	3	3
124	же что	2	3
125	об этом	2	3
126	мы уже	11	3
127	в своей	2	3
128	и потому	3	3
129	быть и	2	3
130	как в	6	3
131	и события	2	3
132	что не	3	3
133	в данном	2	3
134	и то	4	3
135	могут быть	5	3
136	не могут	3	2
137	мы будем	2	2
138	время и	4	2
139	в частности	6	2
140	мы еще	3	2
141	в отношении	3	2
142	человека и	11	2
143	вопрос о	2	2
144	к своему	2	2
145	да и	3	2
146	но все	5	2
147	и может	2	2
148	кроме того	4	2
149	при этом	3	2
150	в самом	8	2
151	себе и	3	2
152	никогда не	2	2
153	в котором	4	2
154	был бы	3	2
155	и их	8	2
156	природы и	2	2
157	одних и	2	2
158	в разных	5	2
159	не было	7	2
160	мы находим	2	2
161	лишь в	6	2
162	и по	2	2
163	же и	2	2
164	во всем	2	2
165	необходимо чтобы	2	2
166	и тех	2	2
167	но они	3	2
168	а как	3	2
169	в них	4	2
170	сравнению с	2	2
171	часто и	2	2
172	и во	7	2
173	что было	3	2
174	в ее	6	2
175	все же	6	2
176	в качестве	3	2
177	равно как	2	2
178	одной из	3	2
179	никто не	2	2
180	конечно не	4	2
181	в этот	2	2
182	нет и	2	2
183	оно не	2	2
184	нем нет	2	2
185	по сравнению	2	2
186	во всех	6	2
187	вместе с	3	2
188	ее в	2	2
189	даже не	2	2
190	во всей	3	2
191	тех же	2	2
192	жизнь и	4	2
193	во всяком	3	2
194	тем что	2	2
195	всей его	2	2
196	но для	2	2
197	и вне	3	2
198	в которой	2	2
199	отличие от	2	2
