N	2gram	Tiupa_Hudo_1	PoTuStor
1	может быть	5	17
2	и в	14	16
3	прежде всего	11	9
4	в этом	11	9
5	и его	5	8
6	и с	4	8
7	точки зрения	5	8
8	не может	7	8
9	с его	5	7
10	не только	12	7
11	и это	4	6
12	и к	4	6
13	с точки	3	6
14	самом деле	5	6
15	для него	10	6
16	при этом	12	6
17	я и	2	6
18	только для	2	5
19	все эти	3	5
20	ни в	5	5
21	еще не	7	5
22	как бы	7	5
23	в него	2	5
24	в нем	3	4
25	отнюдь не	3	4
26	но и	5	4
27	так и	13	4
28	все это	2	4
29	и все	4	4
30	и не	2	4
31	на самом	2	4
32	как мы	3	4
33	можно сказать	4	4
34	и даже	3	4
35	с ними	2	4
36	и на	3	4
37	в этой	8	4
38	с ее	2	4
39	только в	5	4
40	его в	3	4
41	но в	5	4
42	в его	8	4
43	мы знаем	2	3
44	в этих	5	3
45	что в	6	3
46	жизни и	5	3
47	сих пор	2	3
48	матери и	2	3
49	к себе	5	3
50	в том	12	3
51	а в	7	3
52	том что	16	3
53	то что	8	3
54	на этом	3	3
55	только на	2	3
56	едва ли	3	3
57	в конечном	2	3
58	и потому	2	3
59	до сих	2	3
60	не менее	5	2
61	поэтому и	2	2
62	один из	4	2
63	же как	2	2
64	конечном счете	2	2
65	в частности	5	2
66	никогда не	6	2
67	что не	2	2
68	с этой	2	2
69	и так	2	2
70	с этим	3	2
71	то же	9	2
72	быть может	7	2
73	не знает	2	2
74	что он	9	2
75	мы не	2	2
76	что на	2	2
77	у него	9	2
78	и по	3	2
79	и для	3	2
80	как и	9	2
81	на основе	2	2
82	они не	2	2
83	своей жизни	2	2
84	мы уже	4	2
85	по своему	3	2
86	он не	4	2
87	при всей	2	2
88	говорить о	3	2
89	в начале	2	2
90	в пределах	3	2
91	было бы	6	2
92	о том	12	2
93	в самом	4	2
94	но как	2	2
95	в своей	10	2
96	и о	4	2
97	с ним	4	2
98	себя и	2	2
