N	2gram	Bakhtin_Fr_2	Komedia
1	и в	49	26
2	в г	3	17
3	и не	15	14
4	так и	6	12
5	и его	17	12
6	в том	3	11
7	может быть	5	11
8	но и	13	10
9	на протяжении	7	10
10	в этом	15	10
11	что в	2	9
12	том что	4	9
13	вместе с	2	9
14	было бы	3	8
15	и на	17	7
16	из них	3	7
17	не только	17	7
18	в своем	5	6
19	во время	12	6
20	то что	6	6
21	еще не	2	6
22	в нем	9	6
23	того чтобы	2	6
24	в то	6	6
25	о том	3	6
26	таким образом	7	6
27	с его	5	5
28	что он	3	5
29	а затем	3	5
30	в качестве	2	5
31	один из	7	5
32	ни в	3	5
33	в истории	6	5
34	и с	6	5
35	место в	3	4
36	уже в	5	4
37	у него	2	4
38	в этих	4	4
39	в них	13	4
40	прежде всего	19	4
41	из этих	5	4
42	как мы	7	4
43	же в	3	4
44	как и	11	4
45	с их	6	4
46	одной из	2	4
47	хотя и	2	4
48	в его	18	4
49	еще в	2	4
50	все же	7	4
51	в самом	3	4
52	до нас	8	4
53	что для	3	4
54	можно было	3	4
55	точки зрения	6	4
56	в начале	5	4
57	только в	13	4
58	так как	6	4
59	о чем	3	3
60	его современников	2	3
61	в тех	2	3
62	жизни и	7	3
63	но все	4	3
64	связи с	2	3
65	но не	5	3
66	во всех	6	3
67	же время	6	3
68	здесь в	6	3
69	по поводу	2	3
70	никто не	2	3
71	в первую	2	3
72	да и	3	3
73	в ней	2	3
74	и особенно	3	3
75	в своей	5	3
76	в их	2	3
77	все это	9	3
78	в связи	2	3
79	того как	2	3
80	то же	7	3
81	не было	4	3
82	в самой	2	3
83	к нему	3	3
84	а в	4	3
85	тем что	4	3
86	не может	7	3
87	что касается	2	3
88	в этой	10	3
89	тех же	2	3
90	но в	4	3
91	мы можем	2	3
92	и другие	2	2
93	в какой-то	2	2
94	в нашем	2	2
95	с другой	4	2
96	нового времени	4	2
97	в конце	2	2
98	в одном	3	2
99	в духе	4	2
100	затем и	2	2
101	вовсе не	10	2
102	и к	4	2
103	он был	2	2
104	в ее	3	2
105	есть для	2	2
106	до сих	4	2
107	одна из	4	2
108	тот же	5	2
109	перед лицом	2	2
110	как известно	2	2
111	своего времени	2	2
112	связанных с	3	2
113	одной стороны	3	2
114	одним из	2	2
115	наконец в	3	2
116	как бы	11	2
117	всяком случае	2	2
118	даже в	3	2
119	и это	3	2
120	в мире	2	2
121	отношение к	8	2
122	и за	2	2
123	сих пор	4	2
124	целый ряд	2	2
125	так в	3	2
126	с одной	3	2
127	в течение	3	2
128	мы находим	4	2
129	рядом с	6	2
130	роль в	5	2
131	меньше чем	2	2
132	во всяком	2	2
133	и во	4	2
134	под названием	2	2
135	и еще	2	2
136	второй половины	2	2
137	и вовсе	2	2
138	и все	3	2
139	в виду	3	2
140	и после	2	2
