N	2gram	Vinokur_Vv_1	Literetu
1	а не	3	20
2	и в	27	19
3	может быть	24	17
4	своего рода	3	13
5	то же	8	12
6	и не	13	11
7	в том	31	10
8	как и	5	10
9	но и	5	10
10	состоит в	2	9
11	же время	5	9
12	такого рода	2	9
13	не может	13	9
14	тогда как	2	9
15	в этом	34	9
16	в то	5	9
17	с другой	8	8
18	не только	21	8
19	и даже	5	8
20	том что	26	7
21	то что	17	7
22	с одной	4	7
23	и т.д	4	7
24	не менее	8	6
25	однако в	3	6
26	в себе	4	6
27	одной стороны	4	6
28	при этом	3	6
29	себя в	2	6
30	и на	3	6
31	у нас	2	5
32	одна из	2	5
33	но не	7	5
34	в качестве	7	5
35	вместе с	6	5
36	того что	12	5
37	в принципе	2	5
38	что в	11	4
39	в частности	3	4
40	прежде всего	8	4
41	не в	8	4
42	того же	3	4
43	в ней	3	4
44	в его	10	4
45	один из	6	4
46	жизни и	2	4
47	и других	3	4
48	так что	5	4
49	другой стороны	5	4
50	мы не	2	4
51	по отношению	4	4
52	каждый из	2	4
53	тем что	6	4
54	точки зрения	7	4
55	в области	4	4
56	никогда не	3	3
57	что он	4	3
58	в нем	13	3
59	по существу	2	3
60	и как	9	3
61	одним из	5	3
62	в начале	3	3
63	в этой	3	3
64	в сущности	3	3
65	во всех	2	3
66	том чтобы	6	3
67	речь идет	2	3
68	и др	2	3
69	не с	2	3
70	отношению к	4	3
71	данном случае	5	3
72	со стороны	12	3
73	себе и	2	3
74	а именно	6	3
75	в их	11	3
76	и для	4	3
77	этом отношении	3	3
78	так как	13	3
79	но с	4	3
80	с точки	2	3
81	как на	11	3
82	а в	5	3
83	и его	5	3
84	и то	5	3
85	не столько	2	3
86	и с	2	3
87	в данном	11	3
88	в другом	3	3
89	ничего не	2	3
90	без остатка	2	3
91	на этом	3	2
92	уже в	5	2
93	же как	3	2
94	с тем	6	2
95	для этого	3	2
96	в них	4	2
97	в какой	4	2
98	с этой	4	2
99	по крайней	4	2
100	в конце	3	2
101	в виду	4	2
102	в одном	4	2
103	в каждом	4	2
104	вовсе не	6	2
105	как уже	2	2
106	из того	2	2
107	а также	3	2
108	жизни как	2	2
109	о которой	2	2
110	крайней мере	4	2
111	этом случае	6	2
112	в ее	11	2
113	тем не	8	2
114	и без	2	2
115	до конца	3	2
116	еще не	4	2
117	было бы	5	2
118	и сам	2	2
119	одной из	3	2
120	не бывает	2	2
121	свое время	2	2
122	как бы	5	2
123	в свое	2	2
124	не вполне	4	2
125	говоря уже	2	2
126	что и	3	2
127	как он	6	2
128	все же	8	2
129	и т	43	2
130	но уже	2	2
131	в целом	5	2
132	не к	2	2
133	из них	3	2
134	могут быть	4	2
135	в истории	9	2
136	не говоря	2	2
137	и до	2	2
138	мысли и	2	2
139	как раз	4	2
140	свое существование	2	2
141	т п	5	2
142	той же	4	2
143	а потому	3	2
144	уже не	5	2
145	и что	4	2
146	для того	21	2
147	что не	5	2
148	из которых	2	2
149	хотя бы	5	2
150	речь в	4	2
151	в своих	2	2
152	в результате	3	2
153	потому что	14	2
154	одно из	5	2
155	даже и	3	2
156	он и	2	2
157	соответствии с	2	2
158	но как	2	2
159	культуры как	6	2
160	о том	15	2
161	представляет собой	12	2
162	в каждой	2	2
163	а если	2	2
164	как это	5	2
165	но в	10	2
