N	2gram	Tiupa_Hudo_1	Istorich
1	и в	19	24
2	что он	3	21
3	не только	16	21
4	может быть	14	14
5	не может	7	14
6	в этих	3	13
7	что в	6	13
8	мы имеем	6	12
9	как в	2	12
10	в этом	11	12
11	но и	10	11
12	это не	2	10
13	том что	8	10
14	а в	12	10
15	и что	3	10
16	и другие	2	9
17	с другой	7	9
18	не в	7	9
19	о том	2	9
20	потому что	3	9
21	еще не	3	8
22	что и	2	8
23	все это	2	8
24	другой стороны	5	8
25	то же	10	8
26	а не	9	8
27	или в	2	8
28	один из	2	7
29	в том	18	7
30	одна из	2	7
31	во всех	3	7
32	то что	4	7
33	к нему	3	7
34	таким образом	3	7
35	об этом	2	6
36	как и	2	6
37	так же	2	6
38	но не	11	6
39	в нем	5	6
40	а именно	2	6
41	он не	4	6
42	того что	4	6
43	только в	5	6
44	не менее	3	5
45	тот кто	2	5
46	одной стороны	2	5
47	отношение к	5	5
48	дело не	2	5
49	так и	11	5
50	с одной	2	5
51	что она	2	5
52	в чем	2	5
53	право на	2	5
54	с ним	2	5
55	имеем в	3	5
56	в русской	3	5
57	героя и	5	5
58	но в	7	5
59	никогда не	2	4
60	вовсе не	2	4
61	тем не	3	4
62	представляет собой	10	4
63	при этом	13	4
64	одной из	2	4
65	своего рода	5	4
66	как бы	9	4
67	в их	5	4
68	и не	15	4
69	так в	4	4
70	точки зрения	10	4
71	в данном	4	4
72	с его	6	3
73	не столько	3	3
74	в качестве	24	3
75	в них	2	3
76	превращается в	2	3
77	например в	3	3
78	не вполне	2	3
79	его в	2	3
80	не все	2	3
81	ее в	2	3
82	и по	2	3
83	и его	12	3
84	не случайно	3	3
85	хотя и	3	3
86	из этих	3	3
87	герой не	3	3
88	тогда как	13	3
89	не будет	2	2
90	способность к	2	2
91	тому что	2	2
92	того же	2	2
93	или даже	3	2
94	прежде всего	4	2
95	и ее	3	2
96	в то	6	2
97	ни в	5	2
98	в ее	5	2
99	только о	2	2
100	в форме	4	2
101	со своей	3	2
102	в самом	5	2
103	и о	3	2
104	и др	2	2
105	еще один	2	2
106	и тем	2	2
107	со стороны	2	2
108	отличается от	2	2
109	вытекает из	2	2
110	здесь не	2	2
111	уже не	4	2
112	в которой	2	2
113	как это	5	2
114	сказать что	4	2
115	рассказ о	2	2
116	в основе	4	2
117	но он	3	2
118	и на	2	2
119	все эти	2	2
120	и это	2	2
