N	2gram	Bakhtin_sl_2	Otkroven
1	у него	3	22
2	и в	39	19
3	но и	21	13
4	и не	22	13
5	в этом	16	12
6	а не	14	11
7	не в	9	11
8	человека в	5	11
9	может быть	37	11
10	не только	24	11
11	человека и	3	10
12	и все	5	10
13	в нем	19	10
14	никогда не	7	9
15	не было	2	9
16	прежде всего	8	9
17	лишь в	3	7
18	но он	2	7
19	до конца	17	7
20	от него	5	7
21	он не	2	7
22	в его	7	7
23	все это	16	6
24	как и	6	6
25	то что	2	5
26	а в	4	5
27	отношение к	4	5
28	в том	5	5
29	человеке и	3	5
30	для него	7	5
31	с его	7	4
32	только и	2	4
33	того чтобы	2	4
34	и его	33	4
35	все эти	6	4
36	человек и	14	4
37	не может	20	4
38	что в	3	4
39	в романах	3	4
40	к нему	3	3
41	не могут	5	3
42	в этих	7	3
43	это не	5	3
44	что он	2	3
45	для того	2	3
46	хотя бы	3	3
47	еще не	7	3
48	и от	3	3
49	могут быть	7	3
50	все что	2	3
51	в себе	2	3
52	о том	2	3
53	с ним	7	3
54	как бы	7	3
55	уже в	2	2
56	все же	6	2
57	что и	3	2
58	и для	5	2
59	и там	3	2
60	в истории	11	2
61	так и	15	2
62	жизни в	2	2
63	в своем	6	2
64	как к	3	2
65	не все	2	2
66	по себе	5	2
67	и к	6	2
68	его не	4	2
69	том что	5	2
70	в другом	2	2
71	и на	4	2
72	сказать что	3	2
73	и с	9	2
74	чем в	2	2
75	даже и	4	2
76	и нет	2	2
77	его в	4	2
78	и ни	2	2
79	так как	4	2
80	хотя и	2	2
81	к ней	2	2
82	но в	6	2
83	и потому	7	2
