N	2gram	Losev_Prob_5	VelikijI
1	и не	12	20
2	и в	30	16
3	свободы и	4	12
4	то что	18	9
5	так как	6	9
6	еще не	3	8
7	что они	3	7
8	на земле	9	7
9	а не	5	7
10	человека и	4	6
11	к людям	4	6
12	хотя и	8	5
13	как бы	6	5
14	но и	13	5
15	того что	3	5
16	нет у	2	4
17	что он	7	4
18	в нем	6	4
19	как и	7	4
20	все что	2	4
21	в котором	2	4
22	так и	7	4
23	что не	2	4
24	потому что	13	4
25	в этом	17	4
26	в ней	3	4
27	и все	9	4
28	в его	12	4
29	если не	4	3
30	что в	5	3
31	по этому	2	3
32	в них	2	3
33	в конце	8	3
34	ни в	4	3
35	в том	12	3
36	не в	7	3
37	тот же	3	3
38	к тому	2	3
39	никогда не	7	3
40	что и	6	3
41	людей в	5	3
42	жизни и	2	3
43	в своей	22	3
44	и они	2	3
45	и что	6	3
46	за то	2	3
47	хотя бы	2	3
48	и для	6	3
49	от этого	3	3
50	нас и	2	3
51	все эти	2	3
52	в чем	2	3
53	но в	9	3
54	что от	3	2
55	не могут	2	2
56	верит в	2	2
57	с тем	5	2
58	который тоже	2	2
59	это не	2	2
60	в духе	3	2
61	прежде всего	6	2
62	для нас	10	2
63	да и	2	2
64	том что	17	2
65	мы и	2	2
66	но не	7	2
67	не к	2	2
68	конечно не	2	2
69	для них	3	2
70	и сам	4	2
71	того чтобы	2	2
72	земли и	2	2
73	вслед за	2	2
74	огонь с	2	2
75	не только	18	2
76	людей не	2	2
77	один из	2	2
78	не будет	2	2
79	и за	2	2
80	у людей	4	2
81	ее в	2	2
82	и люди	2	2
83	и тогда	2	2
84	а с	4	2
85	почему в	2	2
86	тем что	2	2
87	мы не	2	2
88	уже не	6	2
89	и никогда	3	2
90	не так	4	2
91	его не	2	2
92	а в	6	2
93	в человека	3	2
94	с ним	3	2
95	можно было	2	2
96	и то	5	2
97	людей и	13	2
98	между тем	2	2
99	только в	9	2
100	для людей	4	2
101	во всяком	2	2
102	мира в	3	2
