N	2gram	Tiupa_Anal_2	Marksizm
1	точки зрения	4	34
2	может быть	6	26
3	и не	12	26
4	не может	4	24
5	с точки	2	20
6	и в	16	19
7	и его	4	19
8	таким образом	2	17
9	в этом	18	16
10	как бы	10	15
11	прежде всего	3	13
12	языка и	2	13
13	как мы	3	13
14	как и	14	12
15	так и	15	11
16	и для	2	11
17	в самом	6	10
18	и т.п	8	10
19	для него	4	9
20	лишь в	9	9
21	в результате	3	9
22	внутренней речи	4	9
23	только в	4	9
24	как система	5	8
25	при этом	10	8
26	в контексте	5	8
27	но и	12	8
28	не только	16	8
29	то что	7	8
30	так же	2	7
31	но в	6	7
32	во всех	4	7
33	то же	4	7
34	а не	10	7
35	в том	12	6
36	в пределах	9	6
37	другой стороны	2	6
38	отнюдь не	8	6
39	того же	4	6
40	в его	2	6
41	ничего не	9	6
42	с другой	6	5
43	в конце	4	5
44	именно в	3	5
45	не в	4	5
46	те же	2	5
47	и все	3	5
48	к этому	2	5
49	вовсе не	2	5
50	за пределы	4	5
51	по преимуществу	4	5
52	в отличие	2	5
53	отличие от	2	5
54	что в	2	4
55	не менее	4	4
56	не столько	3	4
57	а в	3	4
58	и на	6	4
59	сказать что	2	4
60	же является	2	4
61	по себе	2	4
62	еще не	2	4
63	было бы	3	4
64	как в	4	4
65	только на	3	4
66	в данном	8	4
67	место в	3	3
68	этом отношении	3	3
69	одного из	3	3
70	а как	2	3
71	здесь в	2	3
72	или иной	3	3
73	можно сказать	4	3
74	же время	2	3
75	в котором	2	3
76	из них	3	3
77	все это	4	3
78	по отношению	4	3
79	того что	2	3
80	не имеет	2	3
81	между тем	2	3
82	в то	2	3
83	его в	2	3
84	и к	5	3
85	этом случае	4	3
86	том что	12	3
87	одной из	3	3
88	в сущности	4	3
89	он не	2	3
90	не есть	2	3
91	в своей	2	3
92	сводится к	3	3
93	на этот	2	3
94	речи в	2	3
95	речи и	2	3
96	между двумя	4	3
97	в частности	16	2
98	никогда не	3	2
99	в своем	4	2
100	что все	2	2
101	тем не	3	2
102	в действительности	3	2
103	совпадает с	4	2
104	для всех	2	2
105	и является	4	2
106	в нашем	3	2
107	с ее	2	2
108	на этой	2	2
109	в первой	3	2
110	и их	2	2
111	имеет место	4	2
112	и даже	9	2
113	можно было	3	2
114	одну из	2	2
115	к его	2	2
116	о том	7	2
117	этом смысле	2	2
118	за пределами	2	2
119	бы в	3	2
120	в сознании	4	2
121	если бы	3	2
122	и во	2	2
123	в себе	7	2
124	в качестве	11	2
125	она не	2	2
126	к тому	7	2
127	ни о	3	2
128	этого слова	3	2
129	что и	3	2
130	отношению к	4	2
131	как раз	4	2
132	в двух	2	2
133	к своему	2	2
134	и он	2	2
135	на смену	3	2
136	той же	2	2
137	в таком	2	2
138	или в	3	2
139	тем что	3	2
140	могут быть	10	2
141	не знает	3	2
142	и т.д	3	2
143	жизни но	2	2
144	таком случае	2	2
