N	2gram	Medvedev_U_1	Myslijsy
1	в том	2	32
2	и в	14	30
3	может быть	6	28
4	то же	5	23
5	не только	10	21
6	только в	2	21
7	но и	4	19
8	том что	2	18
9	то что	7	18
10	не есть	2	17
11	по себе	2	16
12	в себе	2	16
13	не в	2	15
14	и не	8	15
15	а не	10	15
16	таким образом	2	14
17	что и	2	13
18	если бы	2	12
19	как и	3	10
20	в этом	7	10
21	в то	3	10
22	для него	3	9
23	было бы	3	9
24	мы не	2	9
25	между тем	2	9
26	в самом	2	8
27	что мы	2	8
28	и то	3	8
29	смысле этого	2	7
30	с другой	4	7
31	но не	2	7
32	тем что	2	7
33	что он	2	6
34	но это	2	6
35	художественное произведение	5	6
36	не может	7	6
37	не могут	2	5
38	по крайней	2	5
39	художественного произведения	2	5
40	же время	3	5
41	очевидно что	3	5
42	крайней мере	2	5
43	не следует	3	5
44	перестает быть	5	4
45	все это	5	4
46	в его	2	4
47	не все	2	4
48	другой стороны	3	4
49	если не	2	4
50	могут быть	2	3
51	прежде всего	8	3
52	что все	2	3
53	до сих	2	3
54	что она	2	3
55	художественном произведении	2	3
56	в искусстве	6	3
57	это было	2	3
58	сих пор	2	3
59	не столько	2	2
60	не как	3	2
61	а как	2	2
62	в этой	4	2
63	все же	3	2
64	в своей	3	2
65	в их	4	2
66	этом отношении	2	2
67	в буквальном	2	2
68	самом деле	2	2
69	в системе	2	2
70	что такое	4	2
71	а между	2	2
72	произведения искусства	3	2
73	в области	3	2
74	и с	2	2
