N	2gram	Bakhtin_Pr_2	VLabPisa
1	таким образом	11	27
2	в этом	20	26
3	и в	45	25
4	творческого процесса	2	22
5	не только	16	22
6	может быть	18	21
7	хотя бы	5	20
8	и не	42	19
9	не может	24	17
10	в его	22	15
11	в процессе	2	14
12	прежде всего	11	13
13	в том	8	13
14	этом отношении	2	13
15	все это	5	12
16	как это	2	12
17	из них	9	11
18	о том	3	10
19	в художественном	3	10
20	к этому	4	9
21	об этом	3	9
22	что в	6	9
23	для него	9	9
24	и др	4	9
25	но и	15	9
26	то же	5	9
27	все эти	4	8
28	в своем	5	8
29	могут быть	4	8
30	ни один	3	8
31	как и	14	7
32	том что	7	7
33	было бы	4	7
34	отношению к	8	7
35	во всех	4	7
36	творчества в	2	7
37	по отношению	8	7
38	не было	2	7
39	а не	10	7
40	у него	6	6
41	это не	3	6
42	в себе	5	6
43	идеи и	4	6
44	то что	5	6
45	в нем	20	6
46	в зависимости	3	6
47	так и	3	6
48	бы и	3	6
49	и его	8	6
50	их в	7	6
51	в то	5	6
52	в результате	3	5
53	же время	3	5
54	все же	4	5
55	зависимости от	3	5
56	в пределах	4	5
57	одним из	3	5
58	как бы	15	5
59	один из	2	5
60	в их	4	5
61	на основе	2	5
62	сказать что	5	5
63	только в	9	5
64	не в	8	5
65	не является	3	5
66	он говорит	2	5
67	никогда не	17	4
68	их и	3	4
69	перед нами	4	4
70	в одном	6	4
71	в целом	5	4
72	что все	3	4
73	что он	7	4
74	с его	8	4
75	можно сказать	2	4
76	в ее	3	4
77	в романе	3	4
78	одна из	3	4
79	в своей	6	4
80	в самом	13	4
81	даже в	6	4
82	как раз	6	4
83	в них	4	4
84	вот почему	3	4
85	с ними	4	4
86	чем же	2	4
87	это делает	2	3
88	и к	2	3
89	и ее	7	3
90	и как	2	3
91	даже и	2	3
92	и мир	5	3
93	и от	3	3
94	в конце	4	3
95	человека и	2	3
96	в авторской	2	3
97	только что	2	3
98	у нас	2	3
99	мы видели	3	3
100	что они	3	3
101	но как	2	3
102	или в	2	3
103	что не	5	3
104	например в	2	3
105	далеко не	4	3
106	и он	3	3
107	в виду	2	3
108	в котором	7	3
109	нет и	3	3
110	его в	3	3
111	что и	5	3
112	жизни и	15	3
113	и их	6	3
114	ее в	2	3
115	именно в	3	3
116	образом в	2	3
117	этот вопрос	4	3
118	этой области	2	3
119	того что	3	3
120	и по	2	3
121	так же	5	3
122	как на	2	3
123	точки зрения	19	3
124	данного произведения	2	3
125	она не	5	3
126	бы в	5	3
127	не менее	2	2
128	том числе	2	2
129	он сам	6	2
130	в каждом	4	2
131	а о	3	2
132	по крайней	2	2
133	его художественного	4	2
134	в жизни	3	2
135	своих героев	2	2
136	вовсе не	7	2
137	а как	4	2
138	из своих	2	2
139	по себе	8	2
140	или иной	3	2
141	от них	2	2
142	крайней мере	2	2
143	остановимся на	2	2
144	до сих	2	2
145	и потому	6	2
146	но не	6	2
147	как у	2	2
148	они и	2	2
149	числе и	2	2
150	не об	3	2
151	еще не	9	2
152	он и	4	2
153	одной из	2	2
154	если бы	2	2
155	мы имеем	2	2
156	подчеркнуть что	3	2
157	меньшей степени	2	2
158	ни с	2	2
159	к ним	3	2
160	в науке	2	2
161	в ней	7	2
162	что она	4	2
163	конце концов	3	2
164	относится к	2	2
165	и даже	3	2
166	ни одного	3	2
167	идеи в	5	2
168	что для	2	2
169	он может	2	2
170	не по	3	2
171	сих пор	2	2
172	все они	4	2
173	от того	2	2
174	бы не	3	2
175	а в	3	2
176	в особенности	2	2
177	и через	2	2
178	но с	3	2
179	достоевского и	2	2
180	человека в	5	2
181	этой точки	2	2
182	и некоторые	2	2
183	из которых	2	2
184	между ними	4	2
185	и для	2	2
186	отметить что	2	2
187	можно было	2	2
188	с другими	7	2
189	тому как	2	2
190	в своих	4	2
191	или наконец	3	2
192	хотя и	2	2
193	лишь в	2	2
194	не о	2	2
195	идей в	5	2
196	как особый	2	2
197	он не	9	2
198	подобно тому	2	2
199	они не	2	2
200	от его	2	2
201	как он	4	2
202	которые в	2	2
203	в образе	3	2
204	в чем	2	2
205	в которой	2	2
206	которая не	2	2
207	в области	2	2
208	же как	4	2
209	нет ни	3	2
210	в сознании	2	2
211	но в	6	2
