N	3gram	Losev_Dial_3	Vvedenie
1	и т д	23	36
2	о том что	5	12
3	в том что	3	12
4	тем не менее	10	8
5	не может быть	6	8
6	в самом деле	5	6
7	с другой стороны	2	5
8	т е в	4	4
9	по крайней мере	5	4
10	с одной стороны	3	4
11	что иное как	6	4
12	само по себе	5	4
13	не что иное	6	4
14	и в этом	2	4
15	во всяком случае	2	4
16	так или иначе	2	4
17	и тем не	2	3
18	сама по себе	4	3
19	той или иной	2	2
20	с точки зрения	14	2
21	не могут быть	2	2
22	точно так же	2	2
23	не говоря уже	2	2
24	есть не что	3	2
25	подобно тому как	4	2
