N	2gram	Propp_Isto_4	Myslijsy
1	потому что	6	33
2	то что	16	29
3	может быть	14	26
4	таким образом	10	24
5	в том	3	23
6	и в	26	23
7	в этом	7	23
8	и не	9	18
9	что в	14	17
10	в языке	2	16
11	при этом	3	15
12	только в	3	15
13	для нас	3	14
14	как и	7	14
15	в себе	2	14
16	то же	8	14
17	того что	2	14
18	так как	9	14
19	если бы	2	13
20	том что	3	12
21	а не	6	12
22	по себе	2	11
23	что я	2	11
24	но и	12	11
25	не в	5	11
26	не может	6	11
27	что мы	3	10
28	не только	15	10
29	тем что	5	10
30	мы можем	6	10
31	не есть	2	9
32	в своем	2	8
33	было бы	2	8
34	то это	5	8
35	другими словами	2	8
36	сказать что	2	8
37	о том	4	8
38	но в	5	8
39	с тем	2	7
40	что это	2	7
41	это не	5	7
42	на то	3	7
43	в нем	2	7
44	что и	9	7
45	в силу	5	7
46	и что	5	7
47	вовсе не	4	7
48	и т	27	7
49	могут быть	6	7
50	как в	7	7
51	с этим	2	7
52	этого слова	2	7
53	в лес	3	6
54	вместе с	6	6
55	того как	4	6
56	известно что	2	6
57	так и	10	6
58	уже в	2	5
59	только тогда	3	5
60	так что	2	5
61	есть только	3	5
62	таким же	6	5
63	хотя и	2	5
64	в его	5	5
65	как бы	3	5
66	к нему	6	5
67	этом случае	3	5
68	все это	2	5
69	не менее	2	5
70	а в	8	5
71	и то	6	5
72	есть в	2	5
73	не имеет	3	5
74	на вопрос	3	4
75	и более	3	4
76	и все	2	4
77	что он	10	4
78	тем не	2	4
79	тогда как	4	4
80	предположить что	6	4
81	до сих	5	4
82	на котором	3	4
83	но есть	2	4
84	в одном	5	4
85	от того	2	4
86	и тем	2	4
87	между ними	3	4
88	сих пор	5	4
89	а именно	3	4
90	в истории	2	4
91	хотя бы	2	4
92	так же	18	4
93	в данном	3	4
94	же самое	2	4
95	его в	9	4
96	мы имеем	7	4
97	и с	5	4
98	при помощи	10	3
99	и есть	2	3
100	к которым	5	3
101	никогда не	2	3
102	связи с	3	3
103	в этих	7	3
104	не всегда	6	3
105	но это	3	3
106	еще не	6	3
107	и если	3	3
108	мы уже	5	3
109	например в	3	3
110	на его	3	3
111	между прочим	2	3
112	и их	2	3
113	только что	3	3
114	так в	4	3
115	что есть	2	3
116	связь между	2	3
117	и только	5	3
118	т д	24	3
119	все эти	3	3
120	и других	3	3
121	что у	3	3
122	те же	3	3
123	уже не	5	3
124	лишь в	2	3
125	и по	5	3
126	с ними	5	3
127	и на	2	3
128	этот вопрос	2	3
129	в которых	4	3
130	их в	7	3
131	то мы	2	3
132	или от	2	3
133	даже и	2	3
134	там где	3	3
135	и тот	2	3
136	можно считать	2	2
137	во время	7	2
138	не могут	2	2
139	иное как	3	2
140	в другой	3	2
141	и как	5	2
142	все что	4	2
143	превращается в	7	2
144	с другой	4	2
145	из этих	3	2
146	точно так	5	2
147	в образе	3	2
148	а как	2	2
149	вопрос о	4	2
150	отношение к	2	2
151	более позднее	4	2
152	что на	2	2
153	и здесь	5	2
154	у нас	2	2
155	такое же	4	2
156	об этом	7	2
157	от него	2	2
158	есть и	2	2
159	после того	2	2
160	не что	3	2
161	в греческом	2	2
162	она не	3	2
163	выше мы	2	2
164	к ним	2	2
165	он не	7	2
166	этих случаях	8	2
167	и др	5	2
168	даже в	4	2
169	на том	2	2
170	конечно не	2	2
171	данном случае	3	2
172	указывает на	4	2
173	что она	3	2
174	мы видим	6	2
175	происходит в	2	2
176	дело не	2	2
177	и они	2	2
178	но эта	4	2
179	как мы	5	2
180	здесь мы	2	2
181	эта связь	5	2
182	из которых	5	2
183	и у	5	2
184	на этот	2	2
185	и даже	4	2
186	и его	10	2
187	в других	2	2
188	в виде	2	2
189	и при	3	2
190	что иное	3	2
191	мы должны	5	2
192	но мы	3	2
193	его к	3	2
194	в таких	2	2
195	общих чертах	2	2
196	в области	2	2
197	позднее явление	2	2
