N	2gram	Medvedev_S_1	KulturaY
1	и в	3	23
2	не только	3	20
3	в том	5	19
4	в этом	5	18
5	было бы	2	15
6	может быть	2	15
7	том что	2	11
8	что в	2	10
9	то что	2	9
10	не в	3	8
11	и что	2	8
12	но и	2	7
13	то же	2	6
14	должна быть	2	5
15	по существу	2	5
16	еще не	2	5
17	в его	3	5
18	все это	7	5
19	таким образом	2	5
20	только в	2	5
21	для нас	3	4
22	как бы	2	4
23	в результате	2	4
24	в конце	2	4
25	главным образом	2	3
26	это и	2	3
27	конце концов	2	3
28	в частности	2	2
29	очевидно что	2	2
30	как будто	2	2
31	дело не	2	2
32	только как	2	2
