N	2gram	Medvedev_S_1	Analitik
1	может быть	2	29
2	в том	5	27
3	в частности	2	19
4	и в	3	18
5	но и	2	17
6	не только	3	15
7	не в	3	14
8	в его	3	13
9	в этом	5	13
10	том что	2	12
11	то же	2	9
12	далеко не	2	6
13	то что	2	6
14	по отношению	2	6
15	только в	2	6
16	что в	2	5
17	как бы	2	5
18	отношению к	2	5
19	истории литературы	10	4
20	более чем	3	4
21	она может	2	3
22	о литературе	3	3
23	еще не	2	3
24	дело не	2	3
25	таким образом	2	3
26	по природе	2	3
27	как будто	2	3
28	было бы	2	2
29	за пределы	2	2
30	тем более	2	2
31	и заключается	2	2
32	в литературоведении	2	2
